真实标签,预测概率
0,2.2197459
0,3.4221628
0,2.1436849
0,3.8734803
0,2.856318
0,2.721457
0,2.4420924
0,3.1100833
0,2.2822661
0,4.1980486
0,1.8464801
0,2.727219
0,1.9093964
0,2.9662633
0,1.5837083
0,2.525567
0,3.2490766
0,3.568507
0,3.0327728
0,1.9403303
0,3.336318
0,3.0667758
0,2.849737
0,2.2381115
1,2.6887186
1,2.7640014
0,2.5227616
1,2.3583996
1,2.7501264
0,1.9169637
1,2.8483682
1,2.5451305
1,2.9072192
0,2.6420367
1,3.3790832
1,2.9281983
1,2.5246189
0,2.4440198
1,1.5135198
1,3.2607121
0,2.054603
0,1.7495004
0,1.619663
0,2.977634
1,3.170049
1,1.6759276
0,2.1810968
1,2.7833097
1,2.3191276
0,1.4794109
1,2.6964235
1,3.2166102
1,3.159142
1,2.2236242
0,2.4906206
0,3.2095716
0,2.461017
1,1.7911334
1,2.66429
1,2.0774515
1,2.1886775
0,1.6622149
0,2.610824
0,3.042838
1,2.7786748
0,2.457319
1,3.3542233
1,3.002649
1,3.5871084
1,1.6587805
0,1.8186405
1,2.2401116
1,2.2808757
1,2.036881
0,1.761148
0,1.8085961
1,2.0451367
1,2.5623143
0,2.8525724
1,2.1783738
1,1.7392561
0,1.9273567
0,1.3180406
1,1.9997216
1,3.0383005
1,2.3204038
0,2.3698833
1,2.1134768
1,3.5721931
1,3.2849126
0,1.723824
0,1.4237115
1,1.6171353
1,3.0450282
1,2.906443
1,2.8675203
0,0.6071946
0,1.232408
0,1.7837129
1,3.1723838
1,3.0337048
1,2.7547934
1,2.5303025
1,3.3804147
1,2.5093896
0,2.101749
1,2.4343848
0,1.8564379
0,3.254796
0,2.4101908
0,3.115455
0,1.9087169
1,2.4677987
0,3.0870297
0,2.582779
1,2.5332632
1,3.1631646
0,2.3992794
1,1.3648884
0,2.324331
0,2.6087425
0,1.7463973
1,2.6399448
1,2.6714563
1,2.936279
0,2.3942142
1,3.3272574
1,2.223607
1,3.7458377
1,2.6830227
1,2.8653808
1,2.9866526
1,3.4635005
0,2.71604
1,2.1677198
1,2.0754638
1,2.562392
1,2.4811554
1,1.6731408
1,1.3394053
1,2.715601
0,0.97571194
1,2.2212536
1,2.4598117
0,2.616362
0,2.9585176
0,3.421026
1,3.9978304
1,2.0494096
0,2.0226285
0,1.7084482
1,2.8988595
0,3.0737271
1,2.6819725
1,1.3829066
0,1.7205325
0,2.1204638
0,2.6994977
0,1.9131714
0,1.724254
0,1.4864582
1,2.4681792
0,2.0295677
0,3.6353645
0,2.8542116
1,3.0109696
0,1.9718846
0,1.2830781
1,3.8548818
1,2.5915315
0,1.3240283
0,1.9351628
0,3.224385
1,3.261351
1,3.1822262
1,2.8554106
