真实标签,预测概率
1,0.57380044
1,0.6331496
1,0.3251323
1,0.43998706
1,0.63782114
1,0.66925883
1,0.7604216
1,0.90637565
1,0.61781746
1,0.6876203
1,0.3240856
1,0.890504
1,0.5527789
1,0.6419549
1,0.57631123
1,0.24403897
1,1.0
1,0.9113645
1,0.82779497
1,0.36531693
1,0.63938475
1,0.57966894
1,0.7068651
1,0.29915178
1,0.075069934
1,0.8299625
1,0.42067176
1,0.76130384
1,0.36364216
0,0.27307028
0,0.34405637
0,0.3703928
0,0.6215375
1,0.101940095
0,0.055859655
1,0.99999917
0,0.01366058
0,0.3108182
0,0.25665498
1,0.9516915
0,0.0028299093
0,0.34405947
0,0.004934609
0,0.14330328
1,1.0
1,0.6574961
0,0.42728066
0,0.09579426
0,0.66161805
0,0.35013777
1,0.33212608
1,0.999961
1,0.66153616
0,0.23424414
1,0.5426075
1,1.0
0,0.00015172362
1,0.6589738
1,0.64069045
1,0.49487618
0,0.38662148
1,0.5657568
1,0.6904166
0,0.20791587
0,0.64276576
0,0.38793242
0,0.43373904
0,0.43166742
1,0.017821223
1,0.4364359
1,0.9214567
1,0.7052977
0,0.3470584
0,0.024365544
0,0.5883801
0,0.11631712
1,0.41413724
0,0.08473265
0,0.36913425
1,0.9804446
0,0.01038602
0,0.18625554
0,0.32852083
0,0.511421
1,0.9998796
0,0.057608217
0,0.27111328
1,0.14820114
0,0.43517423
1,1.0
0,0.12237018
0,0.070278466
1,0.3810947
0,0.55758864
1,0.5435439
1,0.42111123
0,0.084908694
1,0.35441434
0,0.35632148
1,0.30150247
0,0.85024923
1,0.40232518
1,0.99999917
1,0.98965347
1,0.048626304
1,0.17980328
0,0.01242581
0,0.09018776
0,0.55480176
0,0.36970308
1,0.5691645
0,0.14216936
1,0.40293035
1,0.74639845
1,0.9018002
1,0.5101609
1,0.7901534
1,0.73965394
1,0.39353645
0,0.08871201
0,0.48776016
0,0.6116046
0,0.53998166
0,0.46690503
0,0.6154405
1,0.9999931
1,0.91171974
0,0.096963346
0,0.6854735
0,0.03158313
0,0.103048265
0,0.6362
1,0.85659033
0,0.3579804
0,0.28681064
0,0.013693005
1,0.5921149
0,0.028351009
0,0.36329362
0,0.5195566
1,0.34549278
0,0.030022591
0,0.34167665
0,0.49604005
1,0.76435065
1,0.6727709
1,1.0
0,0.5106836
1,0.9749907
1,0.5711547
1,0.36485288
1,0.547265
1,0.051014304
0,0.12604335
1,0.6149767
0,0.04893887
0,0.53605795
1,0.6411641
1,0.73081595
1,0.21677285
0,0.11676371
0,0.4186811
0,0.17788768
1,0.78779244
1,0.674772
1,0.69113266
1,0.7794999
0,0.25165108
1,1.0
0,0.674926
0,0.55635077
1,0.58419997
1,0.5388486
1,0.6623136
0,0.53946835
1,0.346016
1,0.9365705
0,0.0017405152
0,0.36164778
0,0.27536178
0,0.2818812
0,0.02574268
1,1.0
0,0.08961934
0,0.0036079884
1,0.28863263
0,0.27512932
0,0.7155075
0,0.43733114
1,1.0
1,1.0
1,1.0
1,0.33315414
1,1.0
1,0.97953975
0,0.52223086
1,0.80770564
1,1.0
1,0.45142198
0,0.52793854
1,0.7343294
0,0.5142802
1,0.30394262
0,0.27294385
0,0.58753353
1,1.0
1,0.4111859
1,0.522691
1,0.5801351
0,0.007727921
1,0.4273018
0,0.1355215
0,0.16647315
1,0.851676
1,0.23297492
0,0.005363822
1,0.5602804
0,0.05865273
0,0.76540136
1,0.3578595
1,0.83113956
0,0.49798447
0,0.45669416
0,0.49715534
0,0.014824539
0,0.0026752055
1,1.0
1,0.5137383
0,0.3441885
0,0.29646018
0,0.33877146
1,0.6677123
0,0.011086136
1,0.99999726
1,0.31760538
0,0.014969349
1,0.6208147
1,0.37356505
1,0.87638474
0,0.039586037
0,0.100375086
1,0.32363093
0,0.5732237
0,0.46970868
1,0.34444025
0,0.050067723
1,0.78338176
0,0.049558222
1,0.9637958
0,0.19472903
1,0.13782799
1,0.27557665
1,0.80709505
1,0.49224916
0,0.353024
0,0.010568798
1,0.62761384
0,0.35961345
0,0.034196585
1,0.3049652
0,0.0027267933
1,0.49814782
0,0.04827863
0,0.4314757
0,0.3660817
0,0.2079739
1,0.9994328
1,0.56551033
0,0.02310878
0,0.5348717
0,0.012687206
1,0.6069618
1,0.48310632
1,0.6268628
1,0.8837745
1,0.7023071
1,0.970227
1,0.93634987
0,0.6397645
0,0.09457341
1,1.0
1,1.0
0,0.59738076
0,0.41814554
0,0.04504314
0,0.00034540892
0,0.001443088
1,0.26239675
1,0.35313073
0,0.0005258918
0,0.28383714
1,0.9986885
0,0.65825754
0,0.12312609
1,1.0
0,0.00445807
0,0.6734729
1,0.66009414
0,0.4901668
0,0.36224246
0,0.38152364
1,0.57105553
1,0.67024326
0,0.54436773
1,0.87401855
0,0.32120332
0,0.44011775
1,0.2729289
1,0.6284565
0,0.1934017
1,0.012149602
0,0.2876413
1,0.5567946
0,0.31811714
1,0.7582351
1,0.8471736
0,0.25588232
0,0.022563756
0,0.0076023936
1,0.55735344
0,0.04272273
1,0.4682482
1,0.2927471
0,0.018141061
0,0.21335986
0,0.06987885
1,0.40407628
0,0.3657186
0,0.14882505
0,0.587961
1,0.5036598
0,0.3848636
1,1.0
0,0.7354473
1,0.6884531
1,1.0
1,0.29687572
0,0.20675978
1,0.27822137
0,0.026965916
0,0.35577023
0,0.012430191
0,0.0005696118
0,0.3387609
0,0.2921114
1,0.5711813
1,0.9891995
0,0.027576834
1,0.8213614
0,0.3801809
0,0.23263502
1,0.47931167
0,0.03579101
0,0.19234186
