真实标签,预测概率
0,0.0
1,1.0
0,0.0
1,1.0
0,0.008673966
0,0.29180127
1,0.0
1,0.0005823374
0,0.00023174286
1,0.93321645
1,0.05116439
0,0.08519933
1,0.001791507
1,0.999526
0,0.0
1,0.1041888
0,0.05138716
1,0.9964014
1,0.9990442
0,0.99675083
1,0.9994
1,0.98097426
0,0.11329353
0,4.4703484e-07
1,0.99110305
0,0.0016042888
1,0.9996682
0,0.0
0,2.2947788e-05
0,0.0026337206
0,9.536743e-07
0,0.9846734
1,0.99982285
1,0.9983617
1,0.99737006
1,0.9978409
1,0.6496475
0,0.0015991628
0,1.1920929e-07
0,0.019189894
0,1.6391277e-06
0,8.940697e-07
1,0.08874473
1,1.0
1,0.998724
0,1.3411045e-06
0,0.002269894
0,6.6161156e-06
0,0.0
0,5.9604645e-08
1,0.9998259
0,0.46654046
1,0.98838615
0,0.004140556
1,0.0044590533
0,0.0
1,0.5673392
1,0.8154228
0,0.96515256
0,5.9604645e-08
0,0.18623692
0,0.93696475
0,0.15268856
0,0.1896168
1,0.044793636
1,0.9999237
1,1.0
0,0.0019037426
1,1.0
0,0.0
0,0.9973662
0,0.00025129318
0,0.0123263
0,0.9052109
0,0.0
0,0.0033890605
0,0.00019472837
1,1.0
0,0.0024456084
1,0.0
0,0.032898158
0,2.1547079e-05
0,0.0
0,0.0020920038
1,0.99999833
1,0.9997892
0,0.83392656
0,0.0
0,0.90298307
1,0.9982616
0,0.07119915
1,0.9993439
1,0.0014022291
0,0.981498
1,0.99999833
0,0.94265974
0,0.80533826
1,7.8082085e-06
1,0.09353745
1,1.0
1,0.021940738
1,0.022634774
0,2.9623508e-05
1,0.9999888
1,0.9269443
1,1.0
1,0.65690446
1,0.000101953745
1,0.99981654
1,1.0
0,0.9973291
1,0.99954593
0,0.0046748817
1,0.20540655
0,0.8899722
0,0.96062016
1,1.0
1,0.99788845
1,0.002012074
1,1.0
1,0.9909644
0,0.00010848045
1,0.05042228
0,0.00024285913
1,0.04471919
0,2.682209e-07
0,0.027490288
1,0.8341013
1,0.6924664
1,0.996727
1,0.0025925338
0,0.012603641
0,0.00063073635
0,0.9999988
0,0.0
0,0.00015443563
0,2.9802322e-08
1,1.0
1,0.22405344
0,0.022343636
1,0.9999725
0,0.0
1,0.99413705
1,1.9669533e-06
1,0.90675473
1,0.99977463
1,1.0
1,1.0
0,0.2709583
1,1.0
0,0.9992547
1,2.002716e-05
1,0.99999976
1,0.490348
0,0.0
1,1.0
0,0.9487678
1,0.002269566
0,0.34982848
0,0.00032058358
0,2.4467707e-05
0,0.000133425
1,0.9999821
1,1.0
1,0.999969
0,0.99810857
1,0.9263173
1,0.9926543
1,0.74786
1,0.15191302
1,0.9452472
1,0.0005437732
1,0.9999995
1,0.11420491
1,1.0
0,0.99927366
1,0.9930662
1,1.0
0,0.0
1,0.9991828
0,0.0
1,0.5771922
1,0.0037300587
1,1.0
1,0.008563548
1,0.31038943
1,0.0017676055
1,3.2782555e-07
0,0.029575229
0,1.4901161e-07
1,0.0
1,0.8670877
0,0.9997974
0,0.9855088
0,0.017396927
1,0.79252064
1,1.0
1,0.0017878711
1,0.99986464
1,0.97517884
0,0.13382548
0,0.0033104718
1,0.81000364
1,0.9999493
1,2.1398067e-05
1,1.0
1,0.9999995
1,0.9956259
1,0.4851944
0,0.0
1,1.0
1,0.0010156035
0,0.00032556057
1,0.99330723
1,0.9906782
0,0.78111005
0,0.99999976
0,0.25728115
0,0.0
1,0.99657464
1,0.49581313
1,0.9106902
1,0.000109285116
1,1.0
0,1.4901161e-07
0,0.38716707
1,0.9899062
0,0.0
1,0.58640957
0,0.0
0,0.0013733506
1,1.463294e-05
0,0.0
1,0.05605188
1,0.11623907
0,0.99998856
1,0.9996469
0,0.08742857
1,0.9974966
0,0.0004722774
0,0.0
1,0.9999994
0,5.662441e-07
0,0.25423074
0,0.8983215
1,0.96105707
1,4.172325e-07
0,5.990267e-06
0,0.020039767
0,0.0
0,0.056780547
0,0.0
1,0.99989384
1,1.0
1,0.9994755
1,1.0
1,1.0
1,3.7789345e-05
1,0.99266434
0,0.7214995
0,0.0408338
1,1.0
0,1.4901161e-07
1,0.99961835
1,0.9115863
0,0.8466501
1,0.9992155
1,0.0037519336
1,0.0025739968
0,2.0861626e-07
0,0.9365952
0,0.9970596
1,0.99999
0,0.058616728
1,0.07186991
0,1.3709068e-06
1,1.0
1,0.99996495
0,0.0029364228
0,2.0861626e-07
1,0.71965855
1,1.0
1,1.0
0,0.66368186
1,0.3086955
1,0.9928336
0,0.0007510483
1,0.07950348
1,1.0
1,0.9999928
0,0.009401202
1,0.99999976
1,0.9999303
0,0.014434785
0,1.7881393e-07
0,0.9987731
0,0.0
1,0.99110645
0,0.00039070845
0,0.90325564
1,0.98058534
0,0.9974395
1,7.596612e-05
1,0.004208356
0,7.2717667e-06
1,0.9998952
1,0.99593854
1,0.3358464
0,0.092924446
1,0.08266112
1,0.9884248
0,0.0
1,0.14752916
0,0.9707184
0,0.97173023
1,0.0028701127
1,1.0
1,0.9524852
1,0.05286157
1,0.99518424
1,0.0370526
0,0.0052613616
0,0.08783856
0,0.999473
0,0.74121636
1,0.9861649
0,0.00010561943
0,0.0
0,0.9998081
0,0.0
0,0.28913957
0,2.682209e-07
1,0.9737698
0,0.58544147
0,0.0009907186
1,0.9892024
1,0.97495186
0,0.0
1,0.9995391
0,0.0
0,0.31581223
1,1.4066696e-05
1,1.0
0,0.099428356
0,0.9350191
1,0.051567465
1,0.00032487512
0,0.028000027
1,0.9998646
0,6.172061e-05
1,1.0
0,0.049777776
1,0.09077662
0,0.9947916
0,0.0018129051
0,0.12108934
1,0.00026980042
1,0.9999318
1,0.99994063
0,0.011430174
1,0.99166393
1,0.97190094
1,0.9999683
1,0.98181033
1,0.20291233
0,0.06503892
0,0.00017434359
1,0.99994373
0,4.4047832e-05
1,0.68754095
0,8.404255e-06
1,0.9987093
1,0.9978236
0,4.386902e-05
1,0.45644063
0,0.9999994
1,0.99528146
1,0.10502732
1,0.9909791
1,0.9832323
0,0.0
0,0.0009907186
1,0.99909985
1,0.3713146
1,0.997682
1,0.9999995
0,0.0
1,0.99690926
0,0.0
0,1.4901161e-07
1,0.99996996
0,0.0067363977
0,0.99998236
0,0.9264598
0,0.0
0,0.031223327
1,0.3169638
0,5.9604645e-08
1,0.9999882
1,1.0
1,0.9335154
1,0.9999228
0,0.93466103
0,0.00045385957
1,0.0018014908
1,1.0
0,0.99971735
1,0.41119212
1,0.9986455
0,0.001970768
0,0.0012372434
0,2.130866e-05
0,0.0049838424
0,0.64579195
1,1.0
1,1.0
1,5.066395e-07
0,0.00015711784
0,0.42208976
0,0.0
1,1.0
1,0.8529247
1,0.14122921
0,0.0018470585
1,0.006835729
1,1.0
0,0.011269331
0,0.002968192
0,0.0
0,0.5214796
0,0.96178997
1,0.5519304
0,0.00024744868
1,0.050753325
0,6.0796738e-06
0,3.6656857e-06
0,0.99580574
1,0.9977981
0,2.682209e-07
0,0.0
0,0.0
0,0.030107439
0,8.046627e-07
1,0.9999862
1,0.98597336
0,0.37865132
0,0.0
1,0.0017934442
1,0.9902321
0,0.0005196631
1,0.7356537
1,0.11372626
0,0.99991107
0,0.9954975
1,0.99667335
1,0.6228656
0,0.04605472
1,0.121512264
0,0.005395174
0,0.1367701
1,0.14470685
1,0.9984175
1,0.9999999
0,0.007314533
0,0.15108883
0,0.022146076
0,0.00026798248
0,7.1525574e-07
1,0.018825531
0,0.0
0,3.4332275e-05
1,4.61936e-06
1,0.21698526
0,0.8644228
0,0.0017991662
0,0.0
1,5.209446e-05
