真实标签,预测概率
0,1.9681103
0,3.4145231
0,1.9219258
0,3.9987268
0,2.1394942
0,2.7423284
0,1.9527297
0,1.7287788
0,2.1239896
0,4.4233494
0,1.6219615
0,2.4882662
0,1.4999186
0,2.7096713
0,1.8041784
0,2.4601173
0,2.7559464
0,3.7298408
0,3.2113278
0,2.235849
0,3.4562392
0,3.0365436
0,2.405778
0,1.9304047
1,3.0411649
1,2.5324075
0,2.6453524
1,2.6387305
1,2.7036862
0,1.8099788
1,2.3939025
1,2.515298
1,2.9983528
0,3.0139449
1,3.4779847
1,4.0737276
1,2.4965472
0,2.1333406
1,0.96039027
1,2.7576368
0,1.1609652
0,1.8619695
0,0.96411145
0,2.8367724
1,3.8351338
1,1.8395084
0,1.7367402
1,2.72887
1,1.8650448
0,1.6353784
1,3.20676
1,3.2096748
1,3.0351946
1,1.8934643
0,2.6026292
0,3.0139241
0,1.9168265
1,2.3232584
1,3.1214466
1,2.0094163
1,1.9982466
0,2.4490073
0,1.9550312
0,2.4032526
1,2.11685
0,2.817151
1,3.3453236
1,2.665907
1,3.3800898
1,1.4749919
0,2.0298724
1,2.2014844
1,1.8963985
1,2.4777594
0,2.2425132
0,1.1171387
1,2.830519
1,2.9947958
0,1.918377
1,1.7964894
1,1.3258771
0,1.0600294
0,0.8578356
1,1.7268287
1,3.5077872
1,2.4602394
0,2.5710137
1,2.318452
1,3.5464547
1,3.3701332
0,1.1968287
0,2.1837451
1,1.6098654
1,3.0975957
1,2.9118075
1,3.3480582
0,1.4330133
0,0.7626293
0,1.1582654
1,2.935127
1,3.0074992
1,2.508678
1,2.4288092
1,3.49111
1,2.4540536
0,2.2165895
1,2.853262
0,1.5664679
0,2.956675
0,2.404851
0,2.9251363
0,2.0254576
1,2.4588943
0,2.3842287
0,2.9462311
1,2.8339128
1,3.2429335
0,1.9758773
1,0.7669163
0,2.3615134
0,2.9179986
0,1.4848871
1,2.0232718
1,2.5044293
1,3.1536732
0,2.0893064
1,3.1611981
1,2.3276153
1,3.732375
1,3.148896
1,2.3454247
1,2.4941664
1,3.0747492
0,3.3571236
1,1.8940088
1,1.7403696
1,2.766551
1,2.5156875
1,2.182909
1,1.2985282
1,2.6518812
0,0.76353
1,2.8486953
1,1.7131114
0,2.255762
0,2.6693592
0,3.4942846
1,3.7984705
1,2.299372
0,1.9802965
0,2.6298835
1,1.8900924
0,3.2664857
1,2.9003983
1,1.5122116
0,2.1576285
0,2.7453692
0,1.5467343
0,1.7393711
0,1.7794557
0,1.4203359
1,2.4662325
0,1.6741252
0,3.1876526
0,3.2821357
1,3.0665627
0,2.1471305
0,2.178827
1,3.4558008
1,2.5570915
0,2.0914876
0,2.0918875
0,3.6409364
1,2.2195368
1,3.4530697
1,2.979642
1,3.8819127
0,2.316771
0,1.8459065
1,2.6683257
0,0.6823371
0,2.2050354
1,2.595633
1,1.9214959
1,2.3288565
0,2.709725
1,2.105919
1,2.3265264
1,1.8004793
0,2.8388178
0,1.8868084
0,3.3838954
1,2.9960725
1,4.6590033
0,1.0728352
1,3.5928597
0,3.7335749
1,3.5234506
1,3.8634558
0,2.8777046
1,2.1544683
0,1.8189019
