真实标签,预测概率
0,0.40403455
0,0.56708217
0,0.0021768808
0,0.37652153
0,0.2542192
0,0.3821318
0,0.34531718
0,0.41156355
0,0.28334856
0,0.84487385
0,0.0263727
0,0.018867403
0,0.35500234
0,0.3112223
0,0.017410606
0,0.48022783
0,0.34869164
0,0.3623925
0,0.4451913
0,0.3235988
0,0.20482716
0,0.27627856
0,0.3582669
0,0.044694692
1,0.38768235
1,0.55355245
0,0.40172383
1,0.44076747
1,0.5317416
0,0.3927741
1,0.7598151
1,0.3372563
1,0.7542066
0,0.36292994
1,1.0
1,0.7034483
1,0.96909076
0,0.42514372
1,0.40887612
1,0.37428135
0,0.51403666
0,0.4998574
0,0.004589021
0,0.39308992
1,0.38420117
1,0.53668875
0,0.059855014
1,1.0
1,1.0
0,0.0297786
1,0.40748787
1,0.41927427
1,1.0
1,0.864056
0,0.09596813
0,0.25232273
0,0.37628573
1,0.08190861
1,0.52218163
1,0.54109234
1,1.0
0,0.72573495
0,0.4739138
0,0.621626
1,0.4374947
0,0.52461785
1,0.7720254
1,0.8634545
1,1.0
1,0.36786598
0,0.14652923
1,0.75391483
1,0.4880923
1,0.40851924
0,0.636052
0,0.43811116
1,0.45076334
1,0.3495535
0,0.37020007
1,0.3943765
1,0.80500257
0,0.011049151
0,0.08904317
1,0.6839551
1,0.27994418
1,0.44137806
0,0.37394318
1,0.6167785
1,0.4198283
1,0.5435039
0,0.044103116
0,0.39243734
1,0.46885177
1,0.39635697
1,0.43077618
1,1.0
0,0.017689556
0,0.036916196
0,0.004260093
1,0.426014
1,0.9575424
1,0.90215653
1,0.6130649
1,0.51843184
1,0.6836824
0,0.09780553
1,0.76465523
0,0.014432728
0,0.13637593
0,0.003030777
0,0.34938723
0,0.037649214
1,0.6065691
0,0.05245033
0,0.4162557
1,0.60066986
1,0.934548
0,0.26234844
1,0.44517544
0,0.05596766
0,0.059310466
0,0.0013603866
1,0.7807592
1,1.0
1,0.92173266
0,0.01578635
1,0.6923429
1,0.4454613
1,0.98842
1,1.0
1,1.0
1,0.45928803
1,0.48691922
0,0.48164627
1,1.0
1,0.5152415
1,0.62243116
1,0.45638326
1,1.0
1,0.48770648
1,0.66599315
0,0.07732031
1,0.64682144
1,0.3778022
0,0.39422747
0,0.42683208
0,0.005603552
1,0.84526694
1,0.43469113
0,0.020803899
0,0.44454384
1,0.8477049
0,0.55205595
1,1.0
1,0.506846
0,0.29467055
0,0.33654153
0,0.3486678
0,0.47068936
0,0.2499865
0,0.24384233
1,0.4474337
0,0.27382037
0,0.6641743
0,0.4015906
1,0.9912336
0,0.009736627
0,0.42742413
1,0.4224075
1,0.4297227
0,0.42003816
0,0.5618944
0,0.72661495
1,0.9771277
1,0.71507454
1,0.5634622
1,0.8534063
0,0.50791335
0,0.96221554
1,0.3225215
0,0.12213445
0,0.4293548
1,0.9999999
1,0.41701424
1,0.9355682
0,0.19139034
1,0.41765082
1,0.86696804
1,0.62424713
0,0.40358785
0,0.015034199
0,0.39142072
1,0.75036085
1,0.84601724
0,0.0074320436
1,0.88627905
0,0.8232234
1,1.0
1,1.0
0,0.09168622
1,0.48720175
0,0.013072878
1,0.9939865
1,0.35761225
1,0.99996114
1,0.5328337
0,0.023592234
1,0.3075662
1,0.42556828
0,0.45055616
0,0.6841609
1,0.3840177
0,0.119250536
0,0.7117017
0,0.19611332
0,0.36673003
1,0.86548007
1,0.43747565
1,0.39047372
0,0.4188037
0,0.52979034
1,0.53544
1,0.9980922
1,0.55792266
1,0.93912876
1,0.544573
1,1.0
1,0.45288122
1,0.38116246
0,0.46234196
0,0.007416457
0,0.0039772093
0,0.0054321587
1,0.6895186
0,0.62094265
0,0.4304238
0,0.07655579
0,0.19240272
0,0.088956445
1,0.4879036
0,0.40058163
1,0.8083786
0,0.014650792
0,0.015530109
0,0.0022247732
0,0.008304417
0,0.23883522
0,0.47779238
0,0.5210907
1,0.5080409
0,0.5733067
1,0.837759
1,0.45307356
1,0.5067124
1,0.42877096
0,0.42437622
0,0.0071915984
0,0.30058542
0,0.004635334
0,0.37113684
0,0.42731136
1,1.0
1,0.44468772
0,0.2838364
1,0.9498906
0,0.25376487
0,0.3132105
1,0.98542637
1,0.5316729
1,0.4393304
0,0.50014
0,0.4419229
1,0.7274158
0,0.42876017
0,0.18744978
1,0.53138566
0,0.49058056
0,0.10837236
0,0.0037052333
1,0.79058737
1,0.5089768
0,0.015136361
1,0.4189576
1,1.0
1,0.59152937
1,0.5115886
0,0.0040029287
0,0.45343542
1,0.86285496
1,0.59095025
1,0.80550313
1,0.8411736
1,0.5318595
1,0.7303394
0,0.45256662
0,0.01466158
0,0.37958717
0,0.82389605
1,0.34718898
1,0.5729691
0,0.18350673
0,0.020885497
1,0.7960768
1,0.5702195
0,0.45058948
1,1.0
0,0.4920249
0,0.42803127
1,1.0
1,1.0
1,0.38368213
0,0.0037249625
1,0.36830544
1,0.43628246
1,0.0036109984
0,0.44202787
1,0.4083607
1,0.99997586
0,0.24142998
0,0.09300035
1,1.0
0,0.6750331
0,0.4622566
1,0.56748253
0,0.24398187
1,1.0
1,1.0
1,0.29924276
0,0.005127102
0,0.41123837
1,1.0
0,0.0029670596
0,0.49055293
0,0.29694653
1,0.81714445
0,0.32950276
1,1.0
1,0.9073154
1,0.48703963
1,0.4180562
1,1.0
1,1.0
1,0.49198258
0,0.3280013
0,0.07971367
1,1.0
1,0.6493113
0,0.0078549385
0,0.44476062
1,0.40128684
1,0.43035588
0,0.08873755
0,0.43862692
1,0.48999324
0,0.4116518
0,0.51291233
0,0.14267024
0,0.0068017244
1,0.9316633
1,0.46318033
0,0.3592858
0,0.0051345527
0,0.39449742
1,0.7843157
0,0.21272686
0,0.45192847
1,0.49865434
0,0.42502034
1,0.5043299
0,0.40652764
0,0.17166072
0,0.21566388
1,0.44888783
1,0.40800774
0,0.50755674
1,0.8538612
0,0.45103592
0,0.9902865
0,0.3910484
1,0.46156514
0,0.008675426
1,0.8551721
1,0.582544
0,0.44728246
1,0.4878506
0,0.60898066
0,0.32841048
0,0.45830497
1,0.4648898
0,0.28507978
0,0.5302475
0,0.36690122
0,0.45632342
0,0.88259566
0,0.39930934
1,0.12610438
1,0.41744602
1,0.45495963
1,0.9881187
0,0.49057853
0,0.025865525
1,0.46262458
0,0.3985762
0,0.06824818
1,0.6009909
1,0.9689449
0,0.42022142
0,0.2876695
1,0.46538815
0,0.011192262
1,0.96639514
1,0.9825222
0,0.12420744
1,1.0
0,0.017583787
0,0.4828699
0,0.14650452
0,0.49006772
0,0.006273955
0,0.3102066
1,0.62303054
1,0.650607
0,0.47833928
1,0.50023496
1,1.0
0,0.07255268
1,1.0
1,1.0
0,0.2237412
0,0.00036787987
1,0.5686296
1,0.20730731
0,0.39975324
1,0.28489202
0,0.42608956
1,0.8506937
0,0.02543661
0,0.56687224
0,0.44756675
1,0.050672323
0,0.20571083
1,0.974238
1,0.9161221
1,0.41532192
0,0.331111
0,0.23412403
1,0.3555358
0,0.5130845
1,0.44962013
1,0.45170826
1,0.89356923
1,0.59505343
1,1.0
1,0.99405295
0,0.023419589
0,0.09111592
0,0.44531423
1,0.30250418
1,0.4418276
1,1.0
1,0.7972957
0,0.7331377
1,0.47528362
0,0.48540124
1,0.9999583
1,0.50070536
1,0.50292385
1,1.0
1,0.5064627
0,0.101306885
0,0.24074975
1,0.471502
1,0.6704775
1,0.86305416
1,0.4045018
0,0.31670776
1,0.5424162
1,1.0
1,0.5092803
1,0.41039696
0,0.02238369
0,0.45980218
0,0.089668095
1,0.5885382
0,0.46568674
0,0.058125913
1,0.85364294
