真实标签,预测概率
0,0.3774557
1,0.9651726
0,0.3774557
1,1.0
0,0.3774557
0,0.3774557
1,0.3774557
1,0.87344784
0,0.3774557
1,0.3774557
1,0.3774557
0,0.3774557
1,0.3774557
1,0.3774557
0,0.3774557
1,0.3774557
0,0.3774557
1,0.68908614
1,0.99227774
0,0.3774557
1,0.9255624
1,0.92612016
0,0.3774557
0,0.3774557
1,0.7614255
0,0.3774557
1,0.97487795
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
1,0.864735
1,0.3774557
1,0.3774557
1,0.3774557
1,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
1,0.62400365
1,1.0
1,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
1,0.61637855
0,0.9391687
1,0.6522095
0,0.3774557
1,0.5240528
0,0.3774557
1,0.3774557
1,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.95068073
0,0.3774557
1,0.37922323
1,0.3774557
1,1.0
0,0.3774557
1,1.0
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
1,0.9750696
0,0.3774557
1,0.3774557
0,0.3774557
0,0.6307351
0,0.3774557
0,0.3774557
1,0.9584645
1,0.6975179
0,0.3774557
0,0.3774557
0,0.3774557
1,0.6295108
0,0.3774557
1,0.3774557
1,0.3774557
0,0.3774557
1,0.9976748
0,0.3774557
0,0.3774557
1,0.3774557
1,0.63641894
1,1.0
1,0.3774557
1,0.3774557
0,0.3774557
1,0.9934697
1,0.3774557
1,1.0
1,0.3774557
1,0.3774557
1,0.3774557
1,1.0
0,0.9999936
1,0.3774557
0,0.3774557
1,0.3774557
0,0.64776593
0,0.3774557
1,1.0
1,0.9983182
1,0.3774557
1,1.0
1,0.85560095
0,0.3774557
1,0.64894575
0,0.3774557
1,0.3774557
0,0.3774557
0,0.3774557
1,0.3774557
1,0.6242102
1,0.68922603
1,0.3774557
0,0.3774557
0,0.5646851
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
1,1.0
1,0.3774557
0,0.3774557
1,0.99999505
0,0.3774557
1,0.3774557
1,0.3774557
1,0.3774557
1,0.9512992
1,1.0
1,1.0
0,0.3774557
1,1.0
0,0.3774557
1,0.65165085
1,0.7485942
1,0.3774557
0,0.602288
1,1.0
0,0.3774557
1,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
1,0.9583727
1,1.0
1,0.3774557
0,0.95436335
1,0.3774557
1,0.3774557
1,0.80679786
1,0.3774557
1,0.3774557
1,0.3774557
1,0.94167125
1,0.98040587
1,1.0
0,0.66332924
1,0.9879912
1,1.0
0,0.3774557
1,0.3774557
0,0.3774557
1,0.3774557
1,0.3774557
1,0.99508953
1,0.3774557
1,0.3774557
1,0.7516892
1,0.59844023
0,0.3774557
0,0.3774557
1,0.3774557
1,0.3774557
0,0.9712728
0,0.3774557
0,0.6200927
1,0.3774557
1,1.0
1,0.3774557
1,0.8738178
1,0.935843
0,0.3774557
0,0.3774557
1,0.9650881
1,0.8138125
1,0.3774557
1,1.0
1,0.9656983
1,0.9941551
1,0.8839532
0,0.3774557
1,1.0
1,0.3774557
0,0.3774557
1,0.6942847
1,0.9760896
0,0.3774557
0,0.8043502
0,0.661
0,0.67204976
1,0.6804447
1,0.8253164
1,0.7737937
1,0.79329044
1,1.0
0,0.3774557
0,0.5166124
1,0.98192716
0,0.3774557
1,0.3774557
0,0.3774557
0,0.3774557
1,0.3774557
0,0.3774557
1,0.3774557
1,0.3774557
0,0.8438344
1,0.6484233
0,0.3774557
1,0.58230615
0,0.3774557
0,0.3774557
1,0.99999964
0,0.3774557
0,0.3774557
0,0.9506366
1,0.8266586
1,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
1,0.3774557
1,1.0
1,0.8878796
1,1.0
1,1.0
1,0.3774557
1,0.3774557
0,0.3774557
0,0.3774557
1,0.9999999
0,0.3774557
1,0.3774557
1,0.7830154
0,0.3774557
1,0.99145555
1,0.3774557
1,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
1,0.3774557
0,0.3774557
1,0.61535865
0,0.3774557
1,1.0
1,0.9980265
0,0.3774557
0,0.3774557
1,0.3774557
1,1.0
1,1.0
0,0.3774557
1,0.3774557
1,0.86892736
0,0.3774557
1,0.8366015
1,1.0
1,0.996667
0,0.3774557
1,0.9944289
1,0.9999929
0,0.3774557
0,0.3774557
0,0.99879986
0,0.3774557
1,0.3774557
0,0.7857399
0,0.6373997
1,0.7082927
0,0.5457227
1,0.3774557
1,0.3774557
0,0.3774557
1,0.3774557
1,0.9824377
1,0.3774557
0,0.3774557
1,0.3774557
1,0.3774557
0,0.3774557
1,0.3774557
0,0.3774557
0,0.6690632
1,0.3774557
1,1.0
1,0.99928796
1,0.64549315
1,0.3774557
1,0.6433781
0,0.3774557
0,0.3774557
0,0.5190906
0,0.3774557
1,0.58412147
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.5485978
0,0.3774557
1,0.981212
0,0.3774557
0,0.5641053
1,0.3774557
1,0.3774557
0,0.3774557
1,0.78131413
0,0.3774557
0,0.3774557
1,0.3774557
1,1.0
0,0.3774557
0,0.72364265
1,0.7137424
1,0.3774557
0,0.3774557
1,0.99902725
0,0.3774557
1,1.0
0,0.3774557
1,0.56921726
0,0.3774557
0,0.3774557
0,0.65097165
1,0.3774557
1,0.739552
1,0.3774557
0,0.3774557
1,0.8507552
1,0.9921433
1,0.3774557
1,0.95394903
1,0.999066
0,0.3774557
0,0.3774557
1,0.99882686
0,0.3774557
1,0.5111903
0,0.3774557
1,0.3774557
1,0.96298856
0,0.3774557
1,0.3774557
0,0.3774557
1,0.9153208
1,0.7296936
1,0.6396555
1,0.9354097
0,0.3774557
0,0.3774557
1,0.3774557
1,0.6810118
1,0.92444944
1,0.97965705
0,0.3774557
1,0.51057875
0,0.3774557
0,0.3774557
1,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
1,0.3774557
0,0.3774557
1,0.66598326
1,1.0
1,0.9850539
1,0.59108317
0,0.3774557
0,0.3774557
1,0.3774557
1,1.0
0,0.3774557
1,0.70426655
1,0.8485879
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
1,1.0
1,1.0
1,0.3774557
0,0.3774557
0,0.56045055
0,0.3774557
1,0.9846995
1,0.74705905
1,0.3774557
0,0.3774557
1,0.572526
1,1.0
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
1,0.3774557
0,0.3774557
1,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
1,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
1,0.85581124
1,0.86931324
0,0.3774557
0,0.3774557
1,0.3774557
1,0.9970877
0,0.3774557
1,0.9179771
1,0.3774557
0,0.6235545
0,0.3774557
1,0.3774557
1,0.54047495
0,0.3774557
1,0.3774557
0,0.3774557
0,0.3774557
1,0.3774557
1,0.3774557
1,0.898775
0,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.6345117
1,0.3774557
0,0.877024
0,0.3774557
1,0.3774557
1,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
1,0.3774557
0,0.3774557
0,0.3774557
1,0.70680684
0,0.3774557
1,0.3774557
1,0.3774557
1,0.6916906
0,0.3774557
1,0.3774557
1,0.92344004
1,0.3774557
0,0.3774557
0,0.8562499
0,0.83380353
0,0.3774557
1,1.0
0,0.3774557
1,0.9127506
0,0.3774557
0,0.3774557
0,0.3774557
1,0.3774557
1,0.3774557
1,1.0
0,0.3774557
1,1.0
0,0.3774557
1,0.3774557
1,0.3774557
1,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
1,1.0
1,0.3774557
1,1.0
1,0.7774909
1,0.87798226
1,0.96452194
1,1.0
0,0.3774557
1,0.4223057
1,0.9721732
1,0.9955653
1,0.6306846
1,0.3774557
0,0.3774557
0,0.3774557
0,0.3774557
0,0.6208037
0,0.3774557
0,0.3774557
1,0.3774557
1,0.6332375
1,0.69183
1,0.99850935
0,0.3774557
