真实标签,预测概率
0,0.0015257001
1,0.8124356
0,0.004262924
1,0.7615547
0,0.3946987
0,0.32049045
1,0.08845255
1,0.41007668
0,0.3207156
1,0.93402183
1,0.33967823
0,0.63054776
1,0.60990936
1,0.7717656
0,0.017030805
1,0.63910246
0,0.7550319
1,0.7322533
1,0.5394922
0,0.79372895
1,0.90014863
1,0.51702553
0,0.10240859
0,0.46751463
1,0.591402
0,0.5224458
1,0.9018027
0,0.006694168
0,0.51827353
0,0.36291465
0,0.32399264
0,0.5076022
1,0.78878367
1,0.6156721
1,0.6907864
1,0.09397054
1,0.6777191
0,0.058220476
0,0.5261679
0,0.31765777
0,0.41913593
0,0.047852755
1,0.51382387
1,0.76562333
1,0.82521427
0,0.00456205
0,0.38714018
0,0.3170999
0,0.0066075027
0,0.03924206
1,0.6266247
0,0.017241985
1,0.71430576
0,0.43978128
1,0.15227029
0,0.036307007
1,0.48677963
1,0.4849593
0,0.6001502
0,0.2196478
0,0.5988257
0,0.2859471
0,0.1853584
0,0.8608186
1,0.5047344
1,0.5727686
1,0.9088291
0,0.03588167
1,0.7270462
0,0.3501886
0,0.7300571
0,0.16280016
0,0.80370915
0,0.36620247
0,0.005140245
0,0.18078926
0,0.009009749
1,0.55655754
0,0.22379136
1,0.38765845
0,0.7519336
0,0.09176049
0,0.0041273534
0,0.3069054
1,0.9076986
1,0.6086129
0,0.6705733
0,0.00025197864
0,0.8979993
1,0.8002697
0,0.36866307
1,0.2288872
1,0.30864906
0,0.48892742
1,0.7072413
0,0.44931453
0,0.081175834
1,0.69796634
1,0.77887577
1,0.45829397
1,0.525944
1,0.3965058
0,0.2647471
1,0.7383146
1,0.8606774
1,0.96066153
1,0.32848245
1,0.61691666
1,0.80496335
1,0.93432564
0,0.011635125
1,0.8328804
0,0.5041106
1,0.85585797
0,0.8058101
0,0.5511084
1,0.7475741
1,0.2920856
1,0.38207904
1,0.8951677
1,0.7463003
0,0.3526368
1,0.68589294
0,0.34773904
1,0.28736505
0,0.13839018
0,0.46268627
1,0.7686865
1,0.31198245
1,0.8250859
1,0.41887945
0,0.706787
0,0.13473213
0,0.60153365
0,0.0011454225
0,0.4405098
0,0.017626762
1,0.811
1,0.72201097
0,0.31897694
1,0.6581447
0,0.009804249
1,0.54731685
1,0.20286798
1,0.50535846
1,0.8138256
1,0.9751267
1,0.9307585
0,0.45808354
1,0.8052808
0,0.7638016
1,0.5776162
1,0.8852025
1,0.5871878
0,0.0056098104
1,0.83970165
0,0.59388465
1,0.8313539
0,0.45709655
0,0.17187324
0,0.4590838
0,0.15754348
1,0.2934557
1,0.07336545
1,0.9188665
0,0.9224758
1,0.5152094
1,0.63871706
1,0.17685312
1,0.8031276
1,0.455726
1,0.62553215
1,0.55099964
1,0.033171773
1,0.9656095
0,0.50715363
1,0.5389827
1,0.8246319
0,0.010397702
1,0.47724524
0,0.0005992055
1,0.7516086
1,0.5541768
1,0.6709282
1,0.623562
1,0.46808442
1,0.087085664
1,0.084332496
0,0.47998783
0,0.5961963
1,0.22799227
1,0.6697749
0,0.46176338
0,0.599658
0,0.5122522
1,0.7199709
1,0.9208153
1,0.87995666
1,0.15158221
1,0.7377959
0,0.6670178
0,0.27149504
1,0.9142475
1,0.8036612
1,0.47165817
1,0.78590715
1,0.83528477
1,0.5213749
1,0.1044724
0,0.0031864047
1,0.7739057
1,0.35803282
0,0.064418465
1,0.85835296
1,0.77407545
0,0.84484935
0,0.5837504
0,0.021484047
0,0.00013807416
1,0.741008
1,0.7294496
1,0.7149799
1,0.7637234
1,0.35332763
0,0.04715863
0,0.8901287
1,0.5397784
0,0.028027833
1,0.34212005
0,1.013279e-06
0,0.21064776
1,0.15437758
0,0.095605135
1,0.56469506
1,0.82230145
0,0.35144415
1,0.7523413
0,0.44045115
1,0.5406369
0,0.27819043
0,0.000110685825
1,0.55588335
0,0.68097174
0,0.28112295
0,0.17608061
1,0.31890398
1,0.04962802
0,0.494764
0,0.7031165
0,0.0020661354
0,0.20906365
0,0.120969236
1,0.8503055
1,0.87051105
1,0.89132255
1,0.6574502
1,0.9533373
1,0.26406905
1,0.8703973
0,0.46647355
0,0.7718593
1,0.7142063
0,0.027319819
1,0.67583615
1,0.5684978
0,0.76804864
1,0.34163743
1,0.5485272
1,0.14950004
0,0.0045580566
0,0.4771542
0,0.77754664
1,0.93883324
0,0.45562053
1,0.8513223
0,0.012305409
1,0.86171055
1,0.88855743
0,0.27194583
0,0.06393391
1,0.78304976
1,0.6976709
1,0.050972253
0,0.34760895
1,0.7958598
1,0.78904974
0,0.5592302
1,0.28632194
1,0.85629874
1,0.68829966
0,0.4939607
1,0.66885775
1,0.7277491
0,0.8372526
0,0.37146342
0,0.44954157
0,0.004760951
1,0.6766338
0,0.55411536
0,0.20902184
1,0.79352903
0,0.66966283
1,0.67785627
1,0.078110844
0,0.0034329593
1,0.932108
