真实标签,预测概率
0,1.9896894
0,3.4499772
0,1.991203
0,3.4146485
0,2.8675294
0,3.0258105
0,2.5399363
0,2.5112424
0,2.9474106
0,3.8175716
0,2.3901536
0,2.6343982
0,2.6914287
0,3.2207072
0,2.1869478
0,3.440329
0,3.1755419
0,3.5483363
0,2.7806153
0,2.3193276
0,3.4776237
0,2.6764922
0,2.4728613
0,2.3112082
1,2.8245137
1,3.2592852
0,2.9662318
1,2.9581745
1,3.2977695
0,2.6186771
1,2.487803
1,2.2534072
1,3.1373322
0,2.8305044
1,2.6554775
1,2.5306642
1,2.173406
0,2.5349169
1,2.049741
1,2.8124182
0,2.2380457
0,2.3276253
0,1.8782082
0,2.677709
1,3.0673132
1,2.0352776
0,1.9621748
1,2.799549
1,1.8830386
0,1.4470968
1,2.7926264
1,2.1991892
1,2.7282076
1,2.118715
0,2.2505374
0,2.2905123
0,1.9009426
1,2.1846309
1,3.2222877
1,2.2760832
1,2.5658226
0,1.7883385
0,2.1462173
0,2.7455857
1,2.0964248
0,3.242319
1,3.2569432
1,2.5089478
1,2.911448
1,2.3886926
0,1.6341212
1,2.4860792
1,3.3579895
1,2.3596625
0,2.2956924
0,1.6554484
1,2.4848127
1,2.1048126
0,2.6185966
1,2.282676
1,1.5344126
0,2.077541
0,1.4881891
1,2.0445433
1,3.1203818
1,2.262814
0,2.9009552
1,1.8649466
1,3.5795422
1,3.0170052
0,1.9509695
0,2.0641587
1,2.108293
1,2.665626
1,2.3475828
1,2.6085207
0,0.79430145
0,1.5801976
0,1.869806
1,3.210313
1,2.1228619
1,2.2382212
1,2.9949298
1,3.5997598
1,2.8393087
0,2.451669
1,2.3004053
0,1.9324516
0,2.534474
0,2.5963929
0,2.3514366
0,2.405279
1,2.609805
0,2.8712075
0,3.011868
1,2.7607267
1,2.753322
0,1.6499528
1,1.5703037
0,2.3817127
0,3.059476
0,2.0963147
1,2.843296
1,3.26469
1,2.6867087
0,2.5879202
1,2.0200272
1,2.5612938
1,3.4830177
1,2.5949616
1,3.0673916
1,3.4455845
1,3.4408839
0,2.9999337
1,1.7579393
1,2.478807
1,2.7916417
1,2.7604613
1,2.1450412
1,2.112936
1,2.7176526
0,1.5179169
1,2.8537025
1,2.660919
0,2.2184305
0,3.070653
0,2.8113205
1,3.3078065
1,2.2822447
0,1.660759
0,2.1774278
1,2.8084476
0,2.9414062
1,2.990869
1,1.655341
0,2.3441925
0,2.5598319
0,2.7929513
0,2.085445
0,1.6020435
0,2.2921398
