真实标签,预测概率
0,0.3539101
0,0.3324927
0,0.32739896
0,0.13241404
0,0.19612646
0,0.4041977
0,0.36447197
0,0.47059506
0,0.39736432
0,0.3830372
0,0.33808142
0,0.41758206
0,0.44974303
0,0.21958986
0,0.3869537
0,0.3842984
0,0.15658686
0,0.35732508
0,0.334793
0,0.38936996
0,0.33151928
0,0.43108785
0,0.38736475
0,0.4530306
0,0.40132308
0,0.4378025
1,0.9094269
0,0.43715978
1,0.42989385
1,0.48008177
0,0.3089621
1,0.37992167
1,1.0
0,0.34864175
1,0.39597398
0,0.32880396
1,0.80469
1,0.42308927
0,0.89426565
0,0.38610658
0,0.41093236
1,0.35867918
0,0.042048007
1,0.3146906
0,0.24777475
1,1.0
1,0.4266376
1,0.46280554
1,0.41174415
0,0.35413444
1,0.44942647
1,0.97253513
1,0.42826578
0,0.38348758
1,0.4261148
1,0.43007207
1,0.35848618
1,1.0
0,0.30851078
1,0.76894116
1,0.6922981
1,1.0
0,0.27555925
1,0.3765632
0,0.39941767
0,0.4246722
1,0.49200517
1,0.5019255
1,0.6235088
0,0.27393928
1,0.425353
1,0.24570215
0,0.38329273
0,0.35461783
1,0.32309607
1,0.38646254
0,0.49351338
1,0.4711997
1,1.0
1,1.0
1,0.30109543
0,0.48453933
0,0.5656767
1,0.33913928
1,0.9638473
1,0.34404534
1,1.0
1,1.0
1,0.71603143
1,0.5694096
0,0.39096087
0,0.43838477
1,1.0
0,0.42775264
0,0.35225338
0,0.37584817
1,0.4818894
0,0.3342703
1,0.3680479
1,0.3255272
1,0.95658517
1,0.4785042
1,0.45660588
0,0.3698789
0,0.4174356
0,0.24065608
0,0.43133748
0,0.37990794
0,0.36810413
0,0.3451228
1,0.4777407
1,0.78012127
1,0.42360336
1,0.78617156
1,1.0
0,0.24648267
0,0.42910072
1,1.0
0,0.4182369
0,0.40680367
1,1.0
0,0.39127034
1,0.951265
1,0.3791829
1,0.92262423
1,0.47112465
0,0.3859252
0,0.3264379
0,0.11344457
0,0.44404575
0,0.27178428
0,0.16142914
1,0.378731
1,0.74648845
1,1.0
0,0.044717044
0,0.41309422
1,0.6998347
0,0.37793022
0,0.38387486
1,1.0
0,0.39214066
0,0.4509102
1,1.0
0,0.36765522
1,0.44308138
1,0.41018263
1,0.3749745
1,1.0
0,0.39062
0,0.3085251
1,0.70646447
0,0.3691836
0,0.48753098
1,0.9999924
0,0.3516349
0,0.45517695
0,0.33898056
1,0.39330557
1,0.98309284
0,0.2700637
1,0.90428364
0,0.3472133
0,0.40402776
1,1.0
0,0.35553172
0,0.22148204
1,0.36845854
0,0.13245782
1,1.0
0,0.36255306
1,0.36025584
1,0.41099724
0,0.05373752
0,0.08062783
0,0.36583328
0,0.37765574
1,0.44113043
0,0.16349831
1,1.0
0,0.34467813
1,0.41507387
1,0.3955007
1,0.32881263
0,0.20072418
0,0.39611882
1,0.85245085
0,0.28229547
0,0.37033194
1,0.67870384
1,0.6141937
1,0.452048
0,0.24670362
1,0.395809
1,0.9999954
0,0.49800253
1,1.0
1,0.4334184
1,0.4784433
1,0.36631137
0,0.42774034
0,0.3832157
0,0.51517123
0,0.4356122
0,0.45521396
1,0.36761326
1,0.9940498
0,0.39364603
1,0.3954328
0,0.20049071
0,0.38115513
1,0.35195237
1,0.9334609
0,0.38280264
0,0.07654321
1,0.36447293
0,0.168042
0,0.30929124
1,0.3934523
0,0.37628454
1,0.31514567
1,1.0
1,0.99313396
1,1.0
1,1.0
1,0.38423714
1,0.5357897
0,0.50519675
0,0.405449
0,0.39974865
0,0.3812898
1,0.42871457
1,0.3879755
0,0.37131098
0,0.0027829409
1,1.0
0,0.39857265
1,1.0
1,0.4192177
1,0.43187132
0,0.34794
1,0.21127099
1,0.3841033
0,0.43557885
0,0.41028985
0,0.45317498
1,0.4137516
1,0.4070969
1,0.3450975
0,0.3571515
0,0.40931097
0,0.37597287
1,0.8191824
1,0.9807118
1,1.0
0,0.317661
1,0.38683477
0,0.12563953
0,0.3913856
0,0.2570333
0,0.4235861
0,0.3191366
1,0.79142696
1,0.46302375
1,0.34873432
1,1.0
0,0.32978612
1,0.66965276
1,1.0
0,0.350261
0,0.4063221
0,0.08818197
1,0.54087776
1,0.31554163
0,0.39547503
1,0.38149026
0,0.40148705
1,1.0
1,0.3723551
1,0.40243578
1,0.37425402
0,0.30112827
1,0.33984667
1,1.0
0,0.44505626
1,0.4298605
1,0.30123073
1,1.0
0,0.4215072
0,0.31713998
0,0.4026953
0,0.41072538
0,0.396141
0,0.12031442
0,0.41484752
1,0.4649606
1,0.48074114
1,1.0
1,1.0
1,0.9226644
0,0.38572532
0,0.37113822
0,0.36271158
1,1.0
1,0.35984045
0,0.36987773
1,0.44743177
0,0.3550418
1,1.0
1,0.37706074
1,0.3384676
0,0.33402866
0,0.17086852
0,0.3646708
1,0.44733632
1,0.381566
1,0.42255673
1,0.39956248
1,0.984565
0,0.41401127
0,0.49784827
0,0.389248
0,0.28550553
0,0.39755046
0,0.4187083
0,0.30326203
1,0.37319434
0,0.42916346
0,0.37173367
1,0.6345449
0,0.3248697
0,0.38214853
1,0.32578722
1,1.0
1,0.9255268
0,0.099742204
1,0.44866824
1,0.77459013
0,0.27573144
1,0.35547572
1,0.20634201
0,0.40333563
0,0.3674509
0,0.41065055
0,0.372429
0,0.3566373
1,1.0
1,1.0
1,0.38991255
1,0.35389936
1,0.78886825
0,0.18511677
0,0.39767504
1,0.42264396
1,0.52496916
1,0.39271587
1,0.3304937
1,0.46247208
0,0.37410873
1,1.0
1,0.37490642
1,0.8643825
1,0.33208022
0,0.3708623
0,0.41247517
1,0.65834904
0,0.09088537
1,0.42815322
1,1.0
1,0.45837554
0,0.3927987
0,0.21429724
1,0.34720126
1,0.64762497
1,0.5170176
0,0.3591275
1,0.3129014
0,0.4155767
1,1.0
1,0.90039533
0,0.37132877
1,1.0
0,0.43109196
1,0.2583768
1,0.8367406
0,0.43171304
1,0.46613288
1,1.0
0,0.40098602
0,0.34239796
0,0.13748902
1,0.9999999
1,0.3272203
0,0.37638476
0,0.015524238
1,0.97041833
0,0.23976737
0,0.28177428
1,1.0
1,0.3521589
0,0.32822734
0,0.15549183
0,0.34000722
1,0.9295801
1,1.0
0,0.40586168
0,0.3118831
1,0.3824185
1,0.344384
0,0.13023716
1,0.9454892
1,1.0
0,0.4498022
0,0.42142546
1,1.0
0,0.23936167
1,0.7295308
0,0.37232423
0,0.41623342
0,0.26419485
1,0.4044559
0,0.3565325
1,0.40744302
0,0.41584277
1,0.3785711
1,0.22702548
1,0.41148573
0,0.034741372
0,0.36509103
0,0.4191668
0,0.38150173
0,0.11282498
1,0.3509529
0,0.059329033
1,0.46636865
0,0.34333512
0,0.16773239
1,0.96705985
0,0.05810672
1,0.91464514
0,0.3605972
0,0.3777699
1,1.0
1,0.3026181
0,0.21464363
1,0.35183525
1,0.5241042
0,0.08112836
0,0.39639938
0,0.10850611
1,0.4537543
0,0.39803377
1,0.16783291
0,0.3498103
1,1.0
1,0.9057081
1,0.99726653
1,1.0
0,0.36234915
1,1.0
1,0.5611029
0,0.3561747
0,0.37168163
1,0.90255344
0,0.11783236
1,0.41216958
0,0.4059646
0,0.415129
1,0.777513
1,0.38824546
0,0.259125
0,0.46248844
1,0.49748874
1,0.42920893
0,0.13116005
0,0.37177324
0,0.3697024
1,0.39682257
0,0.108961195
0,0.13889813
0,0.35839692
1,0.4874195
1,1.0
1,0.6265929
1,0.41900188
0,0.3958481
0,0.49037087
1,0.68313754
0,0.4245933
0,0.44908118
0,0.16364014
1,0.68954
1,0.3561824
0,0.47529832
1,0.3970341
0,0.3822706
0,0.4034427
0,0.35452724
0,0.38361505
1,0.3891232
0,0.33051297
1,0.2971818
0,0.40547156
1,1.0
1,1.0
1,0.35182345
0,0.45615464
1,0.6810452
1,0.34166422
0,0.12994859
1,0.38899136
