真实标签,预测概率
0,0.40385476
1,0.6349862
0,0.4190595
1,1.0
0,0.3497059
0,0.09833661
0,0.15587595
0,0.2730559
1,0.18132451
0,0.461757
0,0.20403537
0,0.11018169
0,0.47104353
1,0.41142267
1,0.365305
0,0.10743949
1,1.0
1,0.3928993
1,1.0
1,1.0
1,0.8560072
1,0.9988805
0,0.4611151
1,0.37207192
0,0.35238397
1,0.3824983
1,0.36270195
1,0.51309204
0,0.16112337
1,0.3788067
1,0.22032502
0,0.18565676
0,0.13477144
1,1.0
1,0.33739203
0,0.44046283
0,0.43104333
0,0.00033539534
0,0.36913946
1,0.9598783
0,0.09625423
1,0.5043262
1,0.40125793
1,0.99994767
0,0.38332367
0,0.16000807
1,0.29542398
1,0.9847876
1,0.37685248
0,0.46781662
1,1.0
0,0.04243067
0,0.039001822
1,0.9332464
1,1.0
0,0.42844468
0,0.49617612
1,0.7567071
1,0.46128166
1,0.8745167
0,0.5609263
0,0.3633852
1,0.66017264
1,0.14142749
1,0.49204573
0,0.060611933
0,0.2073771
0,0.3828137
0,0.2013556
1,0.441702
0,0.33717385
0,0.41378322
0,0.053133458
0,0.15975827
0,0.045172513
0,0.31992662
0,0.47097006
0,0.2973443
0,0.22969088
0,0.12106538
0,0.21153957
0,0.34653485
1,0.5005066
1,1.0
0,0.032855093
0,0.03801477
0,0.384453
0,0.44277447
1,1.0
0,0.69198966
0,0.05944127
0,0.32592463
0,0.1833773
0,0.0015888512
1,1.0
0,0.33950418
0,0.34555876
0,0.029558957
0,0.4117308
1,0.58095586
0,0.037840575
1,0.9905783
0,0.42390525
1,1.0
0,0.43020043
1,0.23296764
0,0.034661233
1,0.9959667
0,0.20504132
1,0.068087816
1,0.13481772
1,1.0
1,0.97441
0,0.0052188337
0,0.36568847
0,0.006154686
1,0.4877087
0,0.080693394
0,0.11927852
1,0.72276986
1,0.36329257
0,0.14534232
0,0.045853496
0,0.1778237
0,0.056934178
1,0.54454947
1,1.0
0,0.050362676
0,0.04932502
1,0.9982878
0,0.06951842
1,0.47263277
0,0.16348755
0,0.4061748
1,0.6142258
1,0.85945165
1,0.9968209
1,0.45530605
1,0.2209942
0,0.3395036
0,0.3647291
1,1.0
1,0.35388646
1,0.19761527
1,0.2160475
0,0.011365622
1,0.19364062
0,0.34723574
0,0.13052818
0,0.28048062
0,0.45444503
0,0.29296908
0,0.09328675
0,0.3327834
0,0.44048277
1,0.22127819
0,0.14453346
0,0.023692936
0,0.26083198
1,0.2872331
1,0.13725063
1,0.23667076
1,1.0
0,0.013220042
1,0.33929464
0,0.2798925
0,0.0033065677
1,0.53169686
1,0.62737775
1,0.35513636
1,0.50971204
0,0.44304067
0,0.37847477
1,1.0
1,0.4901072
0,0.42856872
0,0.43627238
1,0.41159952
1,0.0358468
0,0.023756921
1,0.94836503
1,0.39831927
0,0.4943935
1,1.0
1,0.5008761
1,0.16044867
0,0.3917186
0,1.0
1,0.4157613
0,0.43179885
0,0.3991804
1,0.37514493
0,0.48835498
1,0.42888457
1,1.0
1,0.1973603
0,0.31956917
1,0.8527458
0,0.18592048
1,0.50672877
0,0.031504214
0,0.5489551
1,1.0
1,0.9999876
1,0.5659302
1,0.9999908
0,0.33252305
0,0.41525578
1,0.24413007
1,0.98602724
1,1.0
1,0.85528004
1,0.9989706
1,0.9524169
1,0.79979855
1,0.035689563
0,0.4831835
1,0.20297796
1,0.27927262
1,0.91422236
0,0.22462946
0,0.3784937
0,0.4735405
0,0.45096835
0,0.034039974
0,0.00888139
0,0.25363845
1,1.0
0,0.06317094
0,0.40878934
1,0.7383006
0,0.51691806
0,0.5259577
1,1.0
0,0.43663582
1,0.41392168
1,0.4678728
0,0.106758
1,1.0
1,0.34761894
1,0.702115
1,0.39547434
1,1.0
1,0.50264794
0,0.23811066
0,0.0019414723
1,0.8758426
0,0.43409747
0,0.59907037
1,0.4749192
1,1.0
1,0.07706207
1,1.0
0,0.09727886
1,0.48274657
1,0.847279
1,0.39793992
1,0.43526062
1,0.41894132
1,0.56343246
1,1.0
1,0.44575167
1,1.0
0,0.12874004
1,0.675081
1,0.39182204
1,1.0
0,0.11650747
0,0.067504674
1,1.0
1,0.6080917
1,0.9961188
1,0.87958217
1,0.38214892
0,0.48198652
1,0.42074376
1,0.36891055
1,0.3000992
1,0.4496199
0,0.13628581
1,1.0
1,0.022880733
0,0.17144391
0,0.32056165
0,0.4263232
1,0.93964213
1,0.815035
0,0.5187522
1,0.09381342
0,0.37870824
1,1.0
1,0.99027896
0,0.3652625
1,0.39191929
0,0.00234434
1,0.4673991
1,0.661141
1,0.44756877
1,1.0
0,0.40664998
1,0.4933667
0,0.034656346
0,0.008589208
1,0.8986118
1,1.0
1,0.20886654
1,0.27469945
0,0.49667892
0,0.01990202
0,0.19803602
1,1.0
1,0.12474769
0,0.51815754
0,0.019661844
1,0.50741297
1,0.973307
1,0.5613706
0,0.45595196
1,0.990144
0,0.74398994
1,0.10233024
0,0.40388316
0,0.5292959
0,0.35289496
1,0.3119536
1,0.97739774
1,0.79693794
1,1.0
0,0.083072335
1,0.16380212
1,0.30937213
0,0.87919116
1,0.3166337
0,0.640272
1,0.72534025
0,0.56775975
0,0.06410915
0,0.6760435
1,0.99176764
0,0.05777234
0,0.12524614
1,1.0
1,1.0
0,0.37176302
0,0.14145496
0,0.15075189
0,0.42546037
1,0.6902758
1,0.42003915
1,0.3278997
1,0.15583348
0,0.38571167
0,0.04027942
0,0.14964625
0,0.14809376
1,1.0
1,0.54174495
1,1.0
0,0.31507963
1,1.0
0,0.18901587
0,0.30642518
1,0.8152838
1,0.80980885
1,1.0
1,0.08953497
0,0.53929275
1,0.97173643
1,0.09227896
1,0.25009644
0,0.24765089
0,0.27845997
0,0.31903738
1,0.24921373
1,0.5157526
0,0.22426677
1,0.9733703
1,1.0
1,0.34860158
1,0.40610158
1,0.892781
1,0.56960964
1,0.54668
1,0.27171403
1,0.31506926
1,0.2630216
1,0.069736004
0,0.43267906
0,0.2274878
0,0.1216231
0,0.43721515
0,0.21431541
0,0.34708887
1,0.2451554
0,0.03735152
0,0.12829673
0,0.067486525
1,0.47193766
0,0.39053398
1,0.3944262
