真实标签,预测概率
1,1.4751983
1,2.5130842
1,1.9311283
1,2.7075047
1,3.0714884
1,1.9973834
1,2.6055496
1,2.11468
1,2.896604
1,2.084398
1,2.3676338
1,2.7865324
1,3.3599687
1,2.263175
1,2.838337
1,1.003665
1,3.4450753
1,2.5878744
1,4.080488
1,3.506872
1,1.7278882
1,2.449551
1,1.2690756
1,3.2863379
1,1.8854722
1,1.8643131
1,3.1408548
1,1.8342928
1,3.180597
1,3.593052
1,1.7240353
1,1.8065369
1,3.4398675
1,2.8565717
1,2.2697098
1,2.608883
1,3.158629
1,2.1404796
1,2.6250134
1,4.06631
1,1.9257712
1,3.0416117
1,2.4509563
1,2.7317204
0,2.6249208
1,2.3980832
0,2.9386308
0,2.298325
1,2.815649
0,1.9758434
1,3.082715
1,3.7163274
1,2.0989308
1,3.613416
1,3.2944987
1,2.9192934
1,1.8460666
1,3.9875898
1,1.9192171
0,3.7865608
1,3.6242495
0,3.0148928
0,3.5722184
1,1.3613076
1,1.9978385
0,1.4844713
0,0.99782276
1,2.7129135
1,2.2230153
1,2.285699
1,2.7434862
1,2.5968292
1,2.1446395
0,1.0409504
1,1.3888279
0,1.2641938
1,1.4529614
1,3.0570295
0,1.7495468
0,2.5402923
1,1.1283275
1,2.77346
1,3.5690906
0,3.2585173
1,2.034564
0,1.5031719
0,3.8029094
0,2.099652
1,3.1937542
1,3.097125
1,2.091009
0,1.3269484
1,2.8787231
1,1.9771247
1,2.5316944
0,1.2740885
0,1.0269403
1,2.4667072
0,1.0060706
1,1.6191015
0,2.148922
1,3.3897882
1,2.1676226
1,3.1337311
0,2.3241339
0,2.0948358
1,2.483138
1,2.0737433
0,1.1547384
0,1.9356117
0,2.3476186
0,3.798282
1,2.586537
0,1.7315375
0,2.5197814
0,1.5348175
0,2.6465325
0,2.940221
0,0.8754686
0,2.2697682
1,3.0795438
1,1.6151025
0,3.13479
0,3.3370697
1,2.5981345
1,2.9995925
0,2.9849317
1,2.6755652
1,0.9373763
1,2.358339
0,1.7855165
1,2.6719515
0,1.9288644
1,3.7038872
0,3.978765
0,3.019891
1,3.9241
0,3.0676847
1,2.7788825
0,1.6908929
0,2.294564
0,2.5938072
1,2.1477845
1,3.3081942
1,1.7996194
1,1.8335695
1,1.6436672
1,1.560764
1,1.6831942
0,0.8555349
1,1.7095962
0,2.68756
1,2.0922787
0,1.1967065
1,2.747054
0,2.4445987
1,3.6970646
0,0.78506804
1,1.7792296
1,2.5591626
1,1.4506693
1,1.8677251
1,2.691628
1,1.0115633
1,2.845619
1,1.0873141
0,1.7513337
0,1.5561346
0,2.0883267
1,2.0220027
1,2.157411
0,1.7516706
1,2.9726331
1,2.2155414
1,0.94548047
1,1.9750314
1,1.9845436
0,2.2552135
0,1.5510705
0,1.9514902
0,1.7552048
0,2.4753325
0,2.2208881
1,2.9631321
0,2.1267977
0,1.1912117
0,3.000752
0,1.488799
0,1.4244168
0,2.5848076
0,1.8267733
0,1.7024767
1,1.4589843
0,1.3649931
0,2.73199
1,1.6730154
1,4.0474916
1,2.3876872
0,2.110761
0,2.5777268
0,2.5510926
1,1.7955208
0,3.2779813
1,2.7132063
0,3.9882457
0,2.9791713
1,4.2021995
1,1.905452
1,2.2545362
1,2.2525697
1,2.0261571
0,1.9045181
0,2.6303651
0,2.3138878
1,1.7397618
1,2.2857602
1,2.862575
0,2.3440392
0,2.4034224
1,2.575697
1,1.9840976
0,3.650428
1,1.7851856
0,2.5589142
1,2.2328162
1,2.7239757
1,2.1363292
0,2.1328924
1,3.166579
1,2.0458834
1,3.3008082
0,1.4045911
0,2.7778313
1,2.8460174
1,2.2945433
0,2.2224536
0,2.747922
1,2.078879
1,2.208072
