真实标签,预测概率
1,0.3912235
1,0.3450764
1,0.40374523
1,0.3547715
1,0.9167097
1,0.12705645
1,1.0
1,0.19906577
1,0.94346327
1,0.017730743
1,0.6709047
1,0.5729376
1,0.36600703
1,0.35166
1,0.39840907
1,0.3230054
1,0.993271
1,0.47023982
1,1.0
1,0.01677519
1,0.4097941
1,0.34916604
1,0.40520877
1,1.0
1,0.3210777
1,0.04550633
1,0.38319376
1,0.32919788
1,0.74243236
1,1.0
1,0.48821557
1,1.0
1,0.7249199
1,0.15607667
0,0.32915556
0,0.55438554
0,0.0029489398
1,0.32366344
0,0.28637576
1,0.3374222
0,0.02852711
1,0.47154444
1,0.40450835
0,0.32892418
1,1.0
0,0.3533075
1,0.9947274
1,0.32108426
1,0.96871716
0,0.011593312
0,0.12992045
0,0.39723524
1,0.17257813
1,0.18522635
0,0.37302056
0,0.35632673
1,0.30862132
1,0.6161766
0,0.2945191
1,0.3967257
1,0.4062076
1,0.34199488
1,0.8074975
0,0.3317405
0,0.32845992
0,0.40178218
0,0.33000606
0,0.07411468
0,0.11079216
1,0.3808707
1,0.42154765
0,0.31448454
1,0.5066689
0,0.039794356
1,0.23663712
0,0.09261596
0,0.34145436
1,0.45589864
1,0.41230053
1,0.2981941
0,0.06416595
0,0.47681788
1,0.92669857
0,0.4261062
0,0.19660762
0,0.23065215
1,0.98613095
1,0.21160033
1,0.31801805
1,1.0
0,0.3826551
0,0.3533159
1,0.3910793
0,0.57965285
0,0.026720852
1,0.33783156
0,0.12523738
0,0.298545
0,0.4132446
1,0.3950562
1,0.5468606
1,0.99469125
0,0.39403248
1,0.45959455
1,0.41699153
1,1.0
1,1.0
0,0.14150113
0,0.37643456
0,0.380678
1,0.35243243
1,0.2974317
0,0.14546242
0,0.29262537
0,0.34581682
0,0.2748808
1,1.0
0,0.9778873
0,0.28811634
1,0.1781837
0,0.7571314
0,0.05525449
1,0.4318301
0,0.25613678
0,0.44029796
0,0.30531532
0,0.31478718
1,0.2276603
1,0.36894384
1,0.2315104
1,0.23351908
1,0.9970095
0,0.2869502
1,0.8944211
1,1.0
1,0.9912994
1,1.0
1,1.0
0,0.24685067
1,0.32414827
0,0.30789554
0,0.39223325
0,0.116012156
1,0.9948132
1,0.22186297
0,0.37986356
1,0.4769886
0,0.025032878
0,0.44019043
0,0.095205635
0,0.027542323
0,0.38569707
0,0.7864885
0,0.069773525
0,0.34735355
0,0.41178152
1,0.99895024
0,0.09714922
0,0.31711763
0,0.050746918
0,0.43752298
0,0.25790158
0,0.36125427
0,0.4557199
1,0.26689917
0,0.31695065
1,0.36314887
1,0.45181558
0,0.02778396
0,0.27698284
1,0.4677326
0,0.024930835
1,0.62755525
1,0.3721092
0,0.053168595
0,0.3201893
0,0.024829954
0,0.3942252
0,0.525105
0,0.3282336
0,0.35246962
0,0.35859603
0,0.29859158
1,0.4002889
0,0.09784815
0,0.28158468
1,0.37891138
0,0.35174546
0,0.36186907
0,0.3803825
1,0.41786164
0,0.4633158
1,0.6773732
0,0.16507047
0,0.3925935
0,0.39026216
1,0.44988078
0,0.1587629
1,0.85940933
1,1.0
1,0.90562737
0,0.43048003
1,1.0
0,0.35668123
1,0.5452672
1,0.33346325
1,0.74033
0,0.055301934
0,0.119086504
0,0.3220199
0,0.32115474
0,0.033034444
1,0.38754886
0,0.41413483
0,0.24938115
1,0.0727008
1,0.16928524
0,0.4113923
0,0.3530904
0,0.26351744
1,0.39914638
0,0.22364107
0,0.33298194
0,0.42640537
1,0.37334713
1,0.3771214
0,0.33642244
1,0.36449984
1,1.0
1,0.43397617
0,0.31115758
0,0.008662105
1,1.0
1,0.3132198
0,0.30976844
0,0.31591815
0,0.3900576
0,0.095504224
0,0.32033223
1,0.9992331
1,0.29215074
0,0.03425944
1,0.40161297
1,0.040559232
1,1.0
1,0.354796
1,0.9898917
0,0.01053983
1,0.9999995
0,0.36352685
0,0.3092906
1,0.34162205
0,0.33138728
1,0.4211082
0,0.32844955
1,0.3464629
1,0.33187297
0,0.20026371
1,1.0
0,0.36675978
0,0.122134954
1,0.37382627
1,0.30584756
0,0.35202837
0,0.24379313
1,0.5857035
0,0.24706787
1,1.0
0,0.13620257
0,0.41541013
1,0.34727734
1,0.3628607
1,0.24317586
1,0.69179237
1,0.4493391
1,0.4409121
1,0.40505853
1,0.30824578
1,0.61707366
0,0.32034686
1,0.95859605
0,0.65249145
1,0.4371907
0,0.16713804
1,0.5751956
1,0.34019777
1,0.6895191
0,0.35299653
1,1.0
0,0.3274873
0,0.4449125
1,0.99131227
1,0.9646059
0,0.24631628
1,1.0
0,0.4732803
1,0.9814999
0,0.31829882
1,0.37532485
1,0.7392522
1,0.04322502
1,0.29168212
1,1.0
1,0.4576872
1,0.5876595
0,0.36837566
0,0.35523415
1,0.3208754
0,0.3599589
1,0.47774267
1,0.99900204
0,0.32373294
0,0.029268414
0,0.012622386
0,0.28973296
1,0.023127347
0,0.17877841
0,0.2557431
1,0.72127557
0,0.416837
1,0.66484
0,0.32102215
0,0.4101243
1,1.0
1,0.37432677
0,0.20643875
1,1.0
1,0.4143778
0,0.25846815
0,0.33727688
1,0.6784523
1,1.0
1,0.39115107
0,0.27277827
1,0.317362
0,0.39679766
0,0.40760973
0,0.44556373
0,0.41978195
0,0.088629365
1,0.6185887
1,0.37755066
0,0.45182306
0,0.4081078
0,0.22597697
1,0.36343378
0,0.56287324
0,0.33230057
0,0.05259326
0,0.26340333
1,0.9253819
1,0.9283146
1,1.0
1,0.98976505
1,0.40198565
1,0.8405625
0,0.52769876
1,0.999468
0,0.331107
0,0.31010276
0,0.060480386
1,0.99199843
1,1.0
1,1.0
0,0.31983048
1,1.0
0,0.3869543
0,0.41533664
1,0.4100528
0,0.0603441
0,0.3290959
0,0.025796443
0,0.30912226
1,0.30595177
1,0.8962078
1,0.607052
0,0.3843625
1,1.0
0,0.140726
0,0.42264473
0,0.31458968
1,0.34809506
1,0.3770588
1,0.9999912
1,0.9968722
0,0.30882278
0,0.5508005
1,0.95980024
1,0.9972396
0,0.3607908
1,0.97786605
0,0.234784
1,1.0
1,0.5801398
1,0.36642998
0,0.38490844
0,0.15920764
0,0.25230768
1,0.31823808
1,0.54716295
0,0.0019254088
1,0.30302417
0,0.2026718
1,1.0
1,1.0
0,0.2905652
0,0.35683364
1,0.33956417
1,0.3140842
1,0.4285366
0,0.09582627
1,0.96473634
1,0.4987673
0,0.4319251
1,1.0
1,0.2577021
0,0.34998748
1,0.5417942
1,0.35880053
1,0.4754313
1,0.35241243
1,0.22619379
0,0.038874924
1,0.3281
1,0.13330317
1,0.042712748
0,0.32653433
1,0.39592123
1,1.0
1,0.7058681
1,0.41254222
1,0.9959972
0,0.03734401
0,0.046805263
1,0.6218256
0,0.3692112
0,0.361139
0,0.34756446
1,1.0
0,0.13581213
0,0.3710037
1,1.0
1,1.0
0,0.44007266
1,1.0
1,0.32453585
0,0.42132413
1,0.80294514
0,0.00019955635
0,0.35056245
1,0.23853162
1,0.39672813
0,0.34211248
1,1.0
0,0.3620808
1,0.17061737
1,0.37022948
1,0.36072052
1,1.0
1,0.1838539
1,0.77161014
