真实标签,预测概率
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
1,0.99882585
0,0.38714468
1,0.38714468
1,0.38714468
0,0.38714468
1,0.38714468
1,1.0
0,0.38714468
1,0.38714468
0,0.38714468
1,0.9797656
1,0.38714468
0,0.9986164
0,0.38714468
0,0.38714468
1,0.38714468
0,0.38714468
1,0.38714468
0,0.38714468
1,1.0
1,0.38714468
1,0.38714468
1,0.38714468
0,0.38714468
1,0.38714468
1,0.999982
1,0.6509179
0,0.38714468
1,0.38714468
1,0.38714468
1,0.38714468
1,1.0
0,0.38714468
1,0.9639405
1,0.9981327
1,1.0
0,0.38714468
1,0.38714468
0,0.38714468
0,0.38714468
1,0.38714468
1,0.38714468
1,0.78961974
0,0.38714468
1,0.38714468
1,0.38714468
0,0.38714468
0,0.38714468
1,0.38714468
1,0.38714468
0,0.38714468
1,0.38714468
1,1.0
1,1.0
1,0.38714468
0,0.38714468
0,0.38714468
1,0.38714468
1,0.9999732
1,0.38714468
1,1.0
1,1.0
1,0.8961047
1,0.38714468
0,0.38714468
0,0.38714468
1,1.0
0,0.38714468
0,0.38714468
0,0.38714468
1,0.38714468
0,0.38714468
1,0.38714468
1,0.38714468
1,0.9997778
1,0.38714468
1,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
1,0.38714468
1,0.99776256
1,0.38714468
1,0.9246565
1,1.0
0,0.38714468
0,0.38714468
1,1.0
0,0.38714468
0,0.38714468
1,1.0
0,0.38714468
1,0.9996558
1,0.38714468
1,0.9982449
1,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
1,0.38714468
1,0.8698762
1,1.0
0,0.38714468
0,0.38714468
1,0.7631132
0,0.38714468
0,0.38714468
1,1.0
0,0.38714468
0,0.38714468
1,1.0
0,0.38714468
1,0.38714468
1,0.38714468
1,0.38714468
1,1.0
0,0.38714468
0,0.38714468
1,0.38714468
0,0.38714468
0,0.38714468
1,1.0
0,0.38714468
0,0.38714468
0,0.38714468
1,0.38714468
1,1.0
0,0.38714468
1,0.99998903
0,0.38714468
0,0.38714468
1,1.0
0,0.38714468
0,0.38714468
1,0.38714468
0,0.38714468
1,1.0
0,0.38714468
1,0.38714468
1,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
1,0.38714468
0,0.38714468
1,1.0
0,0.38714468
1,0.38714468
1,0.38714468
1,0.38714468
0,0.38714468
0,0.38714468
1,0.99998546
0,0.38714468
0,0.38714468
1,0.7808344
1,0.81139445
1,0.38714468
0,0.38714468
1,0.38714468
1,1.0
0,0.38714468
1,1.0
1,0.38714468
1,0.38714468
1,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
1,0.38714468
1,0.9999972
0,0.38714468
1,0.38714468
0,0.38714468
0,0.38714468
1,0.38714468
1,1.0
0,0.38714468
0,0.38714468
1,0.38714468
0,0.38714468
0,0.38714468
1,0.38714468
0,0.38714468
1,0.38714468
1,1.0
1,1.0
1,1.0
1,1.0
1,0.38714468
1,0.78611714
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
1,0.38714468
1,0.38714468
0,0.38714468
0,0.38714468
1,1.0
0,0.38714468
1,1.0
1,0.38714468
1,0.38714468
0,0.38714468
1,0.38714468
1,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
1,0.38714468
1,0.38714468
1,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
1,0.9999901
1,0.9999935
1,1.0
0,0.38714468
1,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
1,0.9577466
1,0.38714468
1,0.39819136
1,1.0
0,0.38714468
1,0.75168806
1,1.0
0,0.38714468
0,0.38714468
0,0.38714468
1,0.38714468
1,0.38714468
0,0.38714468
1,0.38714468
0,0.38714468
1,1.0
1,0.38714468
1,0.38714468
1,0.38714468
0,0.38714468
1,0.38714468
1,1.0
0,0.38714468
1,0.38714468
1,0.38714468
1,1.0
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
1,0.38714468
1,0.38714468
1,1.0
1,1.0
1,0.99966514
0,0.38714468
0,0.38714468
0,0.38714468
1,1.0
1,0.38714468
0,0.38714468
1,0.38714468
0,0.38714468
1,1.0
1,0.38714468
1,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
1,0.38714468
1,0.38714468
1,0.38714468
1,0.38714468
1,0.99997985
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
0,0.38714468
1,0.38714468
0,0.38714468
0,0.38714468
1,0.94008446
0,0.38714468
0,0.38714468
1,0.38714468
