真实标签,预测概率
0,0.6960608
1,0.4169404
0,0.66427124
1,0.43054956
0,0.58557
0,0.5260424
0,0.27834997
0,0.4326377
1,0.3579049
0,0.73200846
0,0.0860593
0,0.1765975
0,0.4199414
1,0.41031653
1,0.45265812
0,0.20466468
1,0.7434349
1,0.583771
1,0.6137721
1,0.654141
1,0.2861473
1,0.75722754
0,0.45532236
1,0.7298433
0,0.39885232
1,0.68049854
1,0.43437618
1,0.5870696
0,0.43345982
1,0.42829245
1,0.3562771
0,0.19656277
0,0.7954327
1,0.20613912
1,0.6464082
0,0.3620121
0,0.7980309
0,0.00911364
0,0.41468975
1,0.7066408
0,0.3066357
1,0.48008686
1,0.45959195
1,0.67255825
0,0.44397396
0,0.3000442
1,0.6350252
1,0.79399765
1,0.44741556
0,0.7198886
1,0.80876863
0,0.24526808
0,0.122793674
1,0.3950727
1,0.689676
0,0.5377397
0,0.50267226
1,0.7469359
1,0.5720389
1,0.75208855
0,0.6496775
0,0.05657372
1,0.7905496
1,0.33839142
1,0.5878122
0,0.39476925
0,0.32928365
0,0.23956063
0,0.5498187
1,0.7066046
0,0.3287487
0,0.7330248
0,0.073108494
0,0.5216238
0,0.12904763
0,0.6217185
0,0.5992086
0,0.55919003
0,0.3632594
0,0.12425846
0,0.3991086
0,0.6558143
1,0.48159012
1,0.44572452
0,0.27079785
0,0.2580464
0,0.6936086
0,0.4811759
1,0.90323335
0,0.7976673
0,0.15915877
0,0.25165576
0,0.17511961
0,0.32540676
1,0.8586116
0,0.420716
0,0.65211904
0,0.227557
0,0.47263116
1,0.4247268
0,0.19795802
1,0.65353864
0,0.50330245
1,0.59950715
0,0.42370045
1,0.43471527
0,0.07016605
1,0.8171822
0,0.3085304
1,0.26187629
1,0.43922254
1,0.65527946
1,0.7763305
0,0.01197347
0,0.47276714
0,0.055019468
1,0.5990575
0,0.3121749
0,0.5124172
1,0.6845107
1,0.618772
0,0.39181018
0,0.10058588
0,0.69530857
0,0.028550684
1,0.44182247
1,0.70619553
0,0.25719386
0,0.40372735
1,0.72190446
0,0.23819646
1,0.6658372
0,0.20352131
0,0.4568894
1,0.54362416
1,0.38410202
1,0.40301925
1,0.71125734
1,0.50456357
0,0.6461701
0,0.57789356
1,0.9768443
1,0.47399697
1,0.5357317
1,0.656576
0,0.029387057
1,0.37958646
0,0.7205246
0,0.14413065
0,0.798628
0,0.64746284
0,0.4144479
0,0.07908583
0,0.47613588
0,0.3805712
1,0.3045265
0,0.60321134
0,0.2660437
0,0.6069344
1,0.60661894
1,0.22081167
1,0.5346607
1,0.7503425
0,0.074140966
1,0.74879396
0,0.09681824
0,0.28202727
1,0.35690773
1,0.43973535
1,0.77156925
1,0.6846872
0,0.4237934
0,0.43188244
1,0.6713269
1,0.6086092
0,0.43000984
0,0.47246906
1,0.5024228
1,0.33553535
0,0.07279566
1,0.39028966
1,0.8425361
0,0.73064274
1,0.657358
1,0.6690276
1,0.445179
0,0.62577397
0,0.65779424
1,0.67963254
0,0.4409217
0,0.63342977
1,0.63403267
0,0.3853689
1,0.70975375
1,0.70844257
1,0.3382663
0,0.24091122
1,0.6231895
0,0.37345958
1,0.6696617
0,0.06981748
0,0.62478304
1,0.72375804
1,0.21470806
1,0.8349372
1,0.7514119
0,0.35642144
0,0.55228305
1,0.636907
1,0.61967486
1,0.7379617
1,0.7287115
1,0.4072173
1,0.62694764
1,0.7484999
1,0.08194053
0,0.32395083
1,0.6606963
1,0.40217853
1,0.6999956
0,0.6182635
0,0.49456912
0,0.4405062
0,0.62497425
0,0.09787133
0,0.15160728
0,0.75651705
1,0.73280096
0,0.4194975
0,0.33753243
1,0.31069654
0,0.7475837
0,0.52262145
1,0.6167033
0,0.40342337
1,0.72621906
1,0.6801677
0,0.14708358
1,0.7337822
1,0.7550647
1,0.33895093
1,0.51079994
1,0.5975607
1,0.6293694
0,0.54409546
0,0.40971124
1,0.6693324
0,0.5771191
0,0.8368208
1,0.7388837
1,0.69312096
1,0.07166505
1,0.839054
0,0.17540425
1,0.44876415
1,0.6927159
1,0.39472586
1,0.67876625
1,0.65256757
1,0.6403798
1,0.67600805
1,0.5154649
1,0.70930713
0,0.6907869
1,0.8669403
1,0.5571509
1,0.4381738
0,0.29267138
0,0.19642073
1,0.6191017
1,0.7051694
1,0.849331
1,0.40493035
1,0.58212745
0,0.6829177
1,0.358369
1,0.46601853
1,0.60966337
1,0.6676979
0,0.52693087
1,0.7038975
1,0.10375023
0,0.55347633
0,0.43018204
0,0.5176575
1,0.7268377
1,0.5489552
0,0.7808423
1,0.3367316
0,0.44670957
1,0.9874665
1,0.81675375
0,0.49199203
1,0.74925554
0,0.05789703
1,0.6468159
1,0.70389014
1,0.57035005
1,0.6674944
0,0.33968002
1,0.682423
0,0.053296834
0,0.19187158
1,0.68343115
1,0.5534695
1,0.50956976
1,0.29105
0,0.6068835
0,0.033626676
0,0.3635618
1,0.6698968
1,0.21701875
0,0.66800475
0,0.27055553
1,0.558932
1,0.54059416
1,0.78996646
0,0.41555965
1,0.6837348
0,0.76500225
1,0.7426117
0,0.6937265
0,0.49602887
0,0.33154765
1,0.66554826
1,0.6415098
1,0.77715427
1,0.7158959
0,0.15166843
1,0.2852209
1,0.12153697
0,0.99447215
1,0.6048286
0,0.31830356
1,0.10061303
0,0.7111248
0,0.139296
0,0.7316942
1,0.5678227
0,0.09739724
0,0.57962847
1,0.3491478
1,0.6664038
0,0.49430585
0,0.3545149
0,0.27967596
0,0.7186856
1,0.62323594
1,0.66267395
1,0.56757814
1,0.4055181
0,0.7009734
0,0.13467366
0,0.15561521
0,0.6840113
1,0.63717425
1,0.550158
1,0.58581036
0,0.687188
1,0.7202119
0,0.2307964
0,0.44999903
1,0.4571857
1,0.34193683
1,0.32189435
1,0.39982602
0,0.4628664
1,0.6918489
1,0.2069962
1,0.40290228
0,0.24906743
0,0.5190017
0,0.20016986
1,0.6175169
1,0.5094368
0,0.57000667
1,0.70926285
1,0.43190092
1,0.64826447
1,0.44928125
1,0.83032155
1,0.83847004
1,0.57253593
1,0.41509727
1,0.68000317
1,0.4438781
1,0.2103337
0,0.6056758
0,0.5963411
0,0.6227834
0,0.7181341
0,0.26416123
0,0.70759326
1,0.35911936
0,0.07519162
0,0.51114714
0,0.09536946
1,0.7043278
0,0.70107037
1,0.37573007
0,0.7665907
0,0.5220309
0,0.5883893
0,0.035755694
0,0.5242231
1,0.73765355
0,0.7721498
0,0.17443916
1,0.67737
1,0.15598303
0,0.5706372
0,0.6307893
0,0.67550546
1,0.30570513
1,0.68116546
0,0.47505826
1,0.5042288
1,0.2322532
1,0.71589243
1,0.51438147
0,0.56148183
0,0.5700051
1,0.6687327
1,0.2614618
1,0.5419125
0,0.4367534
0,0.5579654
0,0.3528741
1,0.47575355
1,0.50233537
0,0.30560684
1,0.5821154
1,0.38808185
0,0.6484016
0,0.20576888
0,0.2713642
0,0.43820214
1,0.39388123
0,0.5427938
1,0.102722734
0,0.41377467
0,0.80772567
1,0.52985984
1,0.32629368
1,0.95222706
1,0.26546496
1,0.71201634
1,0.8273311
0,0.220777
0,0.42268312
1,0.4393329
0,0.13803881
1,0.3311568
0,0.5399775
1,0.7604604
1,0.56539774
1,0.54723656
0,0.4582041
1,0.15285817
1,0.71678877
0,0.66355366
0,0.4381541
1,0.62321013
1,0.39549565
0,0.57810867
0,0.37539148
0,0.090249866
0,0.67365843
0,0.1528522
0,0.44162363
1,0.8450663
1,0.6804152
0,0.29901546
1,0.44517723
0,0.46453664
0,0.12841454
0,0.64271194
1,0.7320417
1,0.4373532
1,0.473376
0,0.30191088
0,0.51745856
1,0.42569563
1,0.6769976
1,0.69096
0,0.71319795
1,0.5453687
1,0.67875725
1,0.5851879
1,0.67983854
0,0.36484498
1,0.5232149
0,0.35569233
0,0.6112012
1,0.4711751
1,0.7577239
0,0.23560062
0,0.5157402
0,0.24305972
1,0.54303426
0,0.6089906
0,0.37193376
0,0.45878643
1,0.28133005
1,0.75704896
1,0.6696688
1,0.72575366
0,0.17963928
0,0.7131872
0,0.60737437
0,0.08315584
1,0.5145284
1,0.54922974
1,0.36945376
0,0.41395047
0,0.69309545
0,0.043451786
1,0.539412
0,0.46290648
1,0.43079603
0,0.96311843
1,0.69138837
0,0.6743541
1,0.6442535
1,0.50446403
1,0.39300096
0,0.45321473
1,0.34480458
0,0.5949488
0,0.6787952
1,0.452041
1,0.79100883
1,0.40649164
0,0.67114896
1,0.66827804
0,0.12496251
1,0.6417899
1,0.37394485
1,0.56842345
0,0.6330052
0,0.15725794
1,0.45230937
1,0.6917911
1,0.38434404
1,0.6025071
0,0.30332077
1,0.5386643
0,0.613635
0,0.06719354
1,0.38918352
0,0.75725925
0,0.7279343
1,0.7381139
1,0.32170883
1,0.46570385
0,0.7230511
1,0.72045857
1,0.60146916
1,0.7009531
0,0.50685906
0,0.08391553
1,0.12429196
1,0.60908884
1,0.5383992
1,0.54210037
1,0.7669831
1,0.6623981
0,0.30378687
0,0.45365953
0,0.34385258
1,0.86082375
0,0.2602992
1,0.39375257
0,0.10056615
0,0.58018655
0,0.7951212
1,0.6435037
0,0.4289611
0,0.45120502
1,0.3681298
0,0.5992433
1,0.7721585
0,0.42228407
1,0.7598454
0,0.600817
0,0.721665
1,0.7207066
0,0.1579695
0,0.1948807
0,0.13969973
0,0.163975
1,0.6615725
1,0.76475745
1,0.4153753
1,0.5073982
0,0.02185443
1,0.43940654
1,0.8014268
1,0.35606584
0,0.5691904
1,0.9920056
0,0.53871125
1,0.5068402
0,0.44311893
1,0.70125556
0,0.43893728
1,0.590442
0,0.21085057
0,0.34633273
1,0.6329787
1,0.2996798
1,0.68366843
1,0.36499774
0,0.69806445
0,0.13277987
0,0.4689998
1,0.6943397
1,0.6766564
1,0.44187078
0,0.18445691
0,0.33349365
0,0.75764894
0,0.824623
1,0.8955314
0,0.39043438
1,0.5953971
0,0.19523251
1,0.39394403
1,0.7434354
1,0.7828363
1,0.48975986
1,0.7162677
1,0.9898643
1,0.58050513
1,0.51574266
1,0.5483362
0,0.23641312
1,0.72303206
0,0.041096002
1,0.7842301
0,0.6325794
0,0.44065645
1,0.6395503
1,0.616405
0,0.6517837
1,0.6597621
0,0.73229885
0,0.36798483
1,0.67550397
1,0.70995784
0,0.050843924
0,0.47087464
0,0.62968624
1,0.7672354
0,0.08938745
1,0.38746148
0,0.6077577
1,0.39016795
0,0.13078392
0,0.7378532
0,0.2784175
1,0.7450678
1,0.70004725
1,0.7180352
1,0.28610605
0,0.5895513
0,0.48594454
1,0.72987074
1,0.35700038
1,0.5668621
1,0.3633687
1,0.49083406
1,0.74220717
1,0.72047794
1,0.5532073
0,0.47398007
1,0.21367657
1,0.5323439
1,0.5448178
1,0.33369333
0,0.2896565
0,0.6323601
0,0.3602767
1,0.6758169
0,0.4777728
1,0.9911944
0,0.56979966
0,0.2611835
1,0.28708434
0,0.48500922
0,0.18861759
0,0.6864597
0,0.6304928
1,0.6433871
0,0.6463015
0,0.27239597
0,0.43477106
1,0.6264278
1,0.27772647
1,0.65361416
0,0.45434803
1,0.26178634
0,0.4729455
0,0.82755816
1,0.1623945
1,0.46768135
0,0.4179478
0,0.29107744
1,0.55356055
0,0.43125412
1,0.6058088
0,0.4412004
1,0.52652687
1,0.67647314
1,0.73338854
0,0.084715605
1,0.5039891
1,0.80321765
1,0.5386721
1,0.7260668
1,0.64769363
0,0.7450889
1,0.80673313
0,0.21486059
0,0.27596408
1,0.4500239
1,0.73278975
1,0.55947673
0,0.43375936
1,0.6740641
0,0.22414216
0,0.7324756
1,0.2706985
0,0.4495579
1,0.4530061
0,0.57662094
0,0.57174116
1,0.5257004
1,0.8637487
1,0.7342324
1,0.78336
1,0.79654384
0,0.42410746
0,0.6806612
0,0.71840346
0,0.7316658
0,0.16236284
1,0.47870582
1,0.57724905
0,0.4688888
0,0.60010296
1,0.6994426
1,0.30753398
0,0.68404746
1,0.7357463
1,0.89573544
0,0.51045793
0,0.6434326
0,0.46021405
1,0.81134516
1,0.69766766
0,0.0522213
1,0.7086426
0,0.5557127
1,0.33319014
0,0.53394586
0,0.04720807
0,0.24567729
1,0.75191665
1,0.99866664
1,0.6375143
0,0.3849116
1,0.7722409
1,0.6180166
1,0.7551036
1,0.40827987
1,0.65155596
0,0.41669175
0,0.666578
1,0.42979395
0,0.3629981
1,0.78754973
1,0.62860656
1,0.8142318
0,0.5762727
1,0.60476744
1,0.39390677
1,0.4334326
1,0.68826634
1,0.61130667
1,0.2573794
1,0.6725565
1,0.7462312
0,0.15328759
1,0.50775474
1,0.9451486
0,0.55789316
0,0.33747202
0,0.303989
1,0.9811953
0,0.5548111
0,0.360918
1,0.6663908
0,0.1341995
0,0.62708986
1,0.68505687
0,0.6548711
1,0.123678684
1,0.6052969
0,0.5551585
0,0.20061937
0,0.38160253
0,0.5289463
0,0.6933399
1,0.7082443
1,0.6989992
0,0.8000243
1,0.9998069
0,0.66935664
1,0.3159629
0,0.10684639
0,0.07500982
0,0.08431685
0,0.4619529
1,0.38751698
1,0.5744358
0,0.37500614
1,0.45510682
0,0.4100986
1,0.6840046
0,0.6376153
1,0.7198094
0,0.47814703
1,0.6176216
1,0.8954732
0,0.50829804
0,0.5866414
0,0.62263346
1,0.45616582
0,0.36020193
0,0.35952038
0,0.27457535
0,0.6138178
0,0.36339664
1,0.8365599
1,0.74479055
1,0.70954627
0,0.7786881
0,0.43033126
1,0.39392978
0,0.40985262
0,0.66981435
0,0.4351061
1,0.23611036
0,0.13003376
1,0.7233476
1,0.40476522
0,0.47118708
1,0.48713833
1,0.5945505
1,0.5746256
0,0.46947476
0,0.7582714
0,0.41877076
1,0.42036647
1,0.5734566
1,0.3197453
0,0.4886882
1,0.6317955
1,0.54351056
0,0.55177355
1,0.6481045
1,0.43307507
0,0.48013908
0,0.42451614
0,0.45059654
1,0.9177053
0,0.38776648
1,0.6959568
1,0.97099334
0,0.07134864
1,0.5500847
0,0.69215035
1,0.77093107
0,0.4713125
1,0.85981834
0,0.6137866
0,0.08828887
0,0.3503521
0,0.50009286
0,0.2139855
0,0.39590573
1,0.79833853
1,0.4062857
1,0.8325473
0,0.4037934
0,0.6331214
0,0.6038268
0,0.59117365
1,0.5921569
1,0.721121
1,0.70972526
1,0.57806796
0,0.51194954
0,0.3681696
1,0.63291115
0,0.65595585
1,0.69077516
1,0.5704241
0,0.6165333
0,0.3354832
0,0.7145631
1,0.679078
0,0.6899882
1,0.67658365
0,0.54406923
0,0.35696626
0,0.056836605
1,0.66695726
1,0.6152297
0,0.5465961
0,0.5747469
0,0.6104806
1,0.17923471
1,0.694948
0,0.41766453
0,0.593803
0,0.75382054
1,0.4738609
1,0.55353886
1,0.48283827
1,0.64760804
0,0.5495405
0,0.5330988
0,0.51426274
1,0.69653255
0,0.4830562
0,0.67865026
0,0.5363915
1,0.46682563
0,0.64419436
1,0.7394662
0,0.40526006
0,0.62278014
1,0.64781225
0,0.9986458
0,0.5256095
0,0.35589987
0,0.414845
0,0.66733843
1,0.7294373
0,0.5993614
1,0.63173556
1,0.73228186
1,0.71958065
1,0.6901963
0,0.25419664
0,0.18434179
0,0.20322362
