真实标签,预测概率
1,2.5232825
1,2.361904
1,2.6442802
1,2.5229902
1,2.7162378
1,3.089887
1,2.3392713
1,2.586055
1,2.9262502
1,2.6713452
1,2.6820142
1,2.6467526
1,2.7873025
1,2.6053884
1,2.1237388
1,1.9414666
1,2.949032
1,3.1286721
1,3.4605572
1,2.6623597
1,2.6428483
1,2.7643313
1,2.7878382
1,3.4813757
1,1.9133911
1,2.6457045
1,3.4060957
1,2.267622
1,2.842192
1,3.5833163
1,2.6283853
1,2.4191947
1,3.8077083
1,2.2070522
1,2.520743
1,2.3607383
1,2.8903754
1,1.7467097
1,2.554334
1,3.4777274
1,2.4248705
1,2.6616778
1,2.422936
1,2.848771
0,3.0419078
1,2.8296294
0,3.5408075
0,2.6966457
1,2.5956316
0,1.8513584
1,2.7769184
1,3.6751087
1,1.8032434
1,3.2141905
1,3.006987
1,3.2275414
1,2.5476305
1,3.508545
1,2.9275484
0,2.787532
1,2.722579
0,2.184109
0,2.87506
1,2.1881976
1,3.1045768
0,2.408968
0,2.7383718
1,2.6497545
1,3.030943
1,2.671803
1,2.8861978
1,2.4413636
1,2.6372652
0,1.6181841
1,1.7183182
0,2.345591
1,2.7366343
1,3.0007167
0,2.7731898
0,2.7078056
1,1.8087096
1,3.0960097
1,2.2457926
0,2.1792061
1,2.6763825
0,1.7948343
0,3.608999
0,2.3182397
1,3.273693
1,2.9283252
1,2.2511437
0,2.4836402
1,2.6315732
1,2.6786873
1,2.466485
0,1.9350457
0,2.3794389
1,2.4835808
0,2.2240171
1,2.4238503
0,2.2830052
1,3.3155441
1,2.5808861
1,2.330815
0,2.8689585
0,1.4549291
1,2.5529218
1,1.6806751
0,2.151018
0,2.6661108
0,3.1185381
0,3.0250845
1,2.692276
0,1.4284303
0,2.4242613
0,1.470531
0,2.6622686
0,2.8983438
0,2.1724644
0,2.3695035
1,3.3404245
1,2.2645917
0,2.8532948
0,2.5764418
1,2.3827794
1,2.7130985
0,2.2001626
1,2.1568398
1,2.4912877
1,2.9550233
0,2.21967
1,2.4718
0,2.1056406
1,2.723569
0,3.2014124
0,1.7560515
1,2.655318
0,2.6848173
1,2.5926704
0,2.4043944
0,2.6721418
0,3.001126
1,2.817092
1,3.1680706
1,2.128474
1,2.5329568
1,1.9755638
1,2.0950785
1,2.366837
0,1.8699996
1,1.7711263
0,2.7997842
1,2.3210218
0,1.7879584
1,3.1925068
0,1.8069478
1,3.470879
0,1.7438035
1,2.9422698
1,2.647111
1,1.9706764
1,2.5878146
1,2.3661327
1,2.337243
1,2.6168263
1,2.1430626
0,1.5570253
0,1.6008309
0,1.7903389
1,2.5287068
1,3.0520012
0,2.195143
1,2.4064348
1,2.122291
1,1.1540246
1,2.0625815
1,1.3490955
0,2.5453897
0,2.5275974
0,2.1776676
0,2.0036778
0,3.144799
0,2.2684708
1,3.1960251
0,1.9452724
0,2.1638894
0,3.0808332
0,2.2207506
0,2.4006026
0,2.9173713
0,2.413474
0,2.8015199
1,2.004823
0,2.8357837
0,2.1089964
1,3.1479645
1,2.8816948
1,2.2393265
0,2.6756423
0,2.6744788
0,2.6793394
1,2.2998185
0,3.444241
1,2.578904
0,3.6285846
0,2.8232179
1,3.378906
1,2.2265499
1,3.0279498
1,2.400137
1,2.5733056
0,2.1487226
0,1.7234677
0,2.8808317
1,2.6239643
1,1.9964987
1,1.8746592
0,2.9141433
0,2.5234847
1,2.4399438
1,2.8243499
0,2.7216463
1,1.9013917
0,3.2916024
1,2.3098502
1,2.551929
1,1.8703659
0,2.7478814
1,2.9384282
1,3.0383124
1,2.5538914
0,2.2145123
0,2.6269212
1,2.588846
1,2.3416553
0,2.8377368
0,2.2913606
