真实标签,预测概率
1,0.72176546
1,0.04958847
1,0.9999988
1,0.40804982
1,0.5625074
1,0.35668936
0,0.20851278
1,0.15301427
0,0.13761637
1,0.3833501
0,0.45610076
0,0.046222746
0,0.21439508
1,0.43022242
1,0.5976647
1,0.9999974
0,0.080581665
1,0.41131848
0,0.544589
1,0.12326434
0,0.32011902
1,0.99976504
0,0.30238664
0,0.86474466
1,0.48602122
1,0.7595166
1,0.26410747
1,0.71385896
1,0.41936
1,0.4192866
1,0.43921262
1,0.4320025
0,0.3536563
0,0.4642412
1,0.57818586
0,0.2560504
0,0.3102783
1,0.32529393
0,0.44491664
1,0.9872288
0,0.36153334
1,0.9906793
0,0.15317234
0,0.45763972
0,0.40315038
0,0.3934026
0,0.12587968
0,0.18213773
1,0.5571832
1,0.30029088
1,0.9999985
1,0.3363552
0,0.20463952
1,0.14438722
1,0.45122522
1,0.9163942
0,0.5936564
0,0.22256297
1,0.55461144
0,0.52024597
0,0.3200131
1,0.17382851
0,0.47519833
0,0.36989182
0,0.1393362
0,0.20866379
1,0.69910645
0,0.16009963
0,0.6037651
0,0.1599356
1,0.23376578
1,0.4314857
0,0.23322445
1,0.1373083
1,0.87265146
0,0.29438412
0,0.46302265
1,0.40883094
1,1.0
1,0.5822385
1,0.999964
1,0.3396197
1,0.742256
1,0.56471545
1,0.4476598
0,0.41932148
0,0.46396407
1,1.0
1,0.28717726
0,0.18208289
1,0.3253039
0,0.22119784
1,0.43230078
0,0.39608058
0,0.46131447
1,0.45526347
1,0.5485586
1,0.27612996
0,0.12099126
0,0.43098184
1,0.40625307
1,1.0
1,1.0
1,0.9868481
0,0.14612916
0,0.032557547
1,0.39889047
0,0.14460394
0,0.03649786
1,0.3133841
1,0.38282067
0,0.3606528
1,0.9999997
0,0.27952898
1,0.42734975
1,0.48603824
1,1.0
0,0.42307314
0,0.35650122
0,0.6175447
0,0.47307584
0,0.4287802
1,0.17609555
1,0.3860646
0,0.3196528
1,0.9997703
0,0.45116377
1,0.17963707
0,0.45818883
0,0.2590217
1,0.45774132
1,0.22222245
0,0.46449643
1,1.0
1,0.2342231
0,0.23589498
0,0.2739282
1,0.22053474
0,0.23454836
1,0.99925673
1,0.5260775
0,0.3598581
1,0.70751715
0,0.45919594
1,0.43516475
0,0.5239132
1,0.44188696
0,0.47208917
1,0.44557267
0,0.576334
1,0.15441006
1,0.35806885
1,0.53093195
1,0.6837059
1,0.43955645
1,0.22636703
1,0.24819419
0,0.99401015
0,0.21806422
0,0.40757447
0,0.19832432
0,0.6090476
1,0.43007275
1,0.99999964
0,0.108956546
0,0.32553405
0,0.50365597
0,0.19951048
1,0.2765007
0,0.603338
0,0.44535816
1,0.61856
1,0.5496538
0,0.30813742
0,0.46344364
0,0.34831634
0,0.34474793
0,0.46317965
1,0.4195613
1,0.45392075
0,0.18624416
1,0.44729152
0,0.26357615
0,0.27065346
0,0.6602561
0,0.3259398
1,0.8469583
1,0.27375308
1,0.5507238
1,0.26323545
0,0.2953793
0,0.48507923
0,0.3781386
0,0.9902327
1,0.17419392
1,0.44693205
1,0.15965778
0,0.25440192
1,1.0
0,0.45573223
1,0.42385048
1,0.530043
0,0.30663067
1,0.9999999
0,0.21372864
1,1.0
1,0.3986315
0,0.14522383
0,0.37880427
